index	promptID	pairID	genre	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	label1	label2	label3	label4	label5	gold_label
43	43	43	paper:GLUE:lexical_knowledge:upward_monotone					Some dogs like to scratch their ears.	Some animals like to scratch their ears.						entailment
44	44	44	paper:GLUE:lexical_knowledge:upward_monotone					Some animals like to scratch their ears.	Some dogs like to scratch their ears.						neutral
45	45	45	paper:GLUE:upward_monotone:World knowledge:lexical_knowledge					Cruz has frequently derided as amnesty various plans that confer legal status or citizenship on people living in the country illegally.	Cruz has frequently derided as amnesty various bills that confer legal status or citizenship on people living in the country illegally.						neutral
46	46	46	paper:GLUE:upward_monotone:World knowledge:lexical_knowledge					Cruz has frequently derided as amnesty various bills that confer legal status or citizenship on people living in the country illegally.	Cruz has frequently derided as amnesty various plans that confer legal status or citizenship on people living in the country illegally.						entailment
47	47	47	paper:GLUE:Intersectivity:upward_monotone					In many developed areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.	In many areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.						entailment
48	48	48	paper:GLUE:Intersectivity:upward_monotone					In many areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.	In many developed areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.						neutral
49	49	49	paper:GLUE:Intersectivity:upward_monotone					We consider some context words as positive examples and sample negatives at random from the dictionary.	We consider some words as positive examples and sample negatives at random from the dictionary.						entailment
50	50	50	paper:GLUE:Intersectivity:upward_monotone					We consider some words as positive examples and sample negatives at random from the dictionary.	We consider some context words as positive examples and sample negatives at random from the dictionary.						neutral
51	51	51	paper:GLUE:Intersectivity:downward_monotone					We consider all context words as positive examples and sample negatives at random from the dictionary.	We consider all words as positive examples and sample negatives at random from the dictionary.						neutral
52	52	52	paper:GLUE:Intersectivity:downward_monotone					We consider all words as positive examples and sample negatives at random from the dictionary.	We consider all context words as positive examples and sample negatives at random from the dictionary.						entailment
53	53	53	paper:GLUE:lexical_knowledge:downward_monotone					All dogs like to scratch their ears.	All animals like to scratch their ears.						neutral
54	54	54	paper:GLUE:downward_monotone					All animals like to scratch their ears.	All dogs like to scratch their ears.						entailment
55	55	55	paper:GLUE:downward_monotone:World knowledge:lexical_knowledge:npi					Cruz has frequently derided as amnesty any plan that confers legal status or citizenship on people living in the country illegally.	Cruz has frequently derided as amnesty any bill that confers legal status or citizenship on people living in the country illegally.						entailment
56	56	56	paper:GLUE:downward_monotone:World knowledge:lexical_knowledge:npi					Cruz has frequently derided as amnesty any bill that confers legal status or citizenship on people living in the country illegally.	Cruz has frequently derided as amnesty any plan that confers legal status or citizenship on people living in the country illegally.						neutral
57	57	57	paper:GLUE:Intersectivity:downward_monotone					In all areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.	In all developed areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.						entailment
58	58	58	paper:GLUE:Intersectivity:downward_monotone					In all developed areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.	In all areas, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.						neutral
59	59	59	paper:GLUE:Restrictivity:non_monotone:Common sense					The latest fatal incident, reported Monday morning, killed a 17-year-old boy and wounded a woman.	The latest incident, reported Monday morning, killed a 17-year-old boy and wounded a woman.						neutral
60	60	60	paper:GLUE:Restrictivity:non_monotone:Common sense					The latest incident, reported Monday morning, killed a 17-year-old boy and wounded a woman.	The latest fatal incident, reported Monday morning, killed a 17-year-old boy and wounded a woman.						entailment
61	61	61	paper:GLUE:Quantifiers:downward_monotone					No bathroom bill made it to abbott’s desk by the end of the legislative session in may.	No bills made it to abbott’s desk by the end of the legislative session in may.						neutral
62	62	62	paper:GLUE:Quantifiers:downward_monotone					No bills made it to abbott’s desk by the end of the legislative session in may.	No bathroom bill made it to abbott’s desk by the end of the legislative session in may.						entailment
63	63	63	paper:GLUE:Quantifiers:downward_monotone					No bathroom bill made it to abbott’s desk by the end of the legislative session in may.	A bill made it to abbott’s desk by the end of the legislative session in may.						neutral
64	64	64	paper:GLUE:Quantifiers:downward_monotone					A bill made it to abbott’s desk by the end of the legislative session in may.	No bathroom bill made it to abbott’s desk by the end of the legislative session in may.						neutral
65	65	65	paper:GLUE:Intersectivity:upward_monotone					Missouri lawmakers are considering a government boycott of companies that boycott Israel.	Missouri lawmakers are considering a boycott of companies that boycott Israel.						entailment
66	66	66	paper:GLUE:Intersectivity:upward_monotone					Missouri lawmakers are considering a boycott of companies that boycott Israel.	Missouri lawmakers are considering a government boycott of companies that boycott Israel.						neutral
67	67	67	paper:GLUE:non_monotone					The crown prince's mother wouldn't be the first saudi royal whose movements were restricted since June 2017.	The crown prince's mother wouldn't be the first royal whose movements were restricted since June 2017.						entailment
68	68	68	paper:GLUE:non_monotone					The crown prince's mother wouldn't be the first royal whose movements were restricted since June 2017.	The crown prince's mother wouldn't be the first saudi royal whose movements were restricted since June 2017.						neutral
69	69	69	paper:GLUE:Core args:non_monotone					Last time I visited was nearly 6 months ago and I am still finding husky fur on my socks.	Last time I visited my friend was nearly 6 months ago and I am still finding husky fur on my socks.						neutral
70	70	70	paper:GLUE:Core args:non_monotone					Last time I visited my friend was nearly 6 months ago and I am still finding husky fur on my socks.	Last time I visited was nearly 6 months ago and I am still finding husky fur on my socks.						neutral
71	71	71	paper:GLUE:Intersectivity:upward_monotone:conditionals					You know that some life changing actions must be taken when grandma reacts with the sad emoji.	You know that some actions must be taken when grandma reacts with the sad emoji.						entailment
72	72	72	paper:GLUE:Intersectivity:upward_monotone:conditionals					You know that some actions must be taken when grandma reacts with the sad emoji.	You know that some life changing actions must be taken when grandma reacts with the sad emoji.						neutral
73	73	73	paper:GLUE:Intersectivity:downward_monotone:conditionals					You know that some life changing actions must be taken when grandma reacts with the sad emoji.	You know that some life-changing actions must be taken when grandma reacts with emoji.						neutral
74	74	74	paper:GLUE:Intersectivity:downward_monotone:conditionals					You know that some life-changing actions must be taken when grandma reacts with emoji.	You know that some life changing actions must be taken when grandma reacts with the sad emoji.						entailment
75	75	75	paper:GLUE:downward_monotone					I have never seen a hummingbird not flying.	I have never seen a hummingbird.						neutral
76	76	76	paper:GLUE:downward_monotone					I have never seen a hummingbird.	I have never seen a hummingbird not flying.						entailment
77	77	77	paper:GLUE:lexical_knowledge:downward_monotone					I have never seen a hummingbird not flying.	I have never seen a bird not flying.						neutral
78	78	78	paper:GLUE:lexical_knowledge:downward_monotone					I have never seen a bird not flying.	I have never seen a hummingbird not flying.						entailment
79	79	79	paper:GLUE:Intervals/Numbers:non_monotone:Common sense:lexical_knowledge					Just watched the first 15 minutes, got bored, skipped to the magic bit, it's funnier as a gif.	Just watched the first quarter hour, got bored, skipped to the magic bit, it's funnier as a gif.						entailment
80	80	80	paper:GLUE:Intervals/Numbers:non_monotone:Common sense:lexical_knowledge					Just watched the first quarter hour, got bored, skipped to the magic bit, it's funnier as a gif.	Just watched the first 15 minutes, got bored, skipped to the magic bit, it's funnier as a gif.						entailment
81	81	81	paper:GLUE:Existential:upward_monotone					Weird that you want to show something to a stack of papers.	Weird that you want to show this video to a stack of papers.						neutral
82	82	82	paper:GLUE:Existential:upward_monotone					Weird that you want to show this video to a stack of papers.	Weird that you want to show something to a stack of papers.						entailment
83	83	83	paper:GLUE:Named entities:non_monotone:Common sense:lexical_knowledge					At the age of 24, she was betrothed to prince albert victor, duke of clarence and avondale, the eldest son of the prince of wales, but six weeks after the announcement of the engagement, he died unexpectedly of pneumonia.	At the age of 24, she was betrothed to prince albert victor, duke of clarence and avondale, the eldest child of the prince of wales, but six weeks after the announcement of the engagement, he died unexpectedly of pneumonia.						neutral
84	84	84	paper:GLUE:Named entities:non_monotone:Common sense:lexical_knowledge					At the age of 24, she was betrothed to prince albert victor, duke of clarence and avondale, the eldest child of the prince of wales, but six weeks after the announcement of the engagement, he died unexpectedly of pneumonia.	At the age of 24, she was betrothed to prince albert victor, duke of clarence and avondale, the eldest son of the prince of wales, but six weeks after the announcement of the engagement, he died unexpectedly of pneumonia.						entailment
85	85	85	paper:GLUE:non_monotone					At the age of 24, she was betrothed to prince albert victor, duke of clarence and avondale, the eldest son of the prince of wales, but six weeks after the announcement of the engagement, he died unexpectedly of pneumonia.	At the age of 24, she was betrothed to prince albert victor, duke of clarence and avondale, the eldest able-bodied son of the prince of wales, but six weeks after the announcement of the engagement, he died unexpectedly of pneumonia.						neutral
86	86	86	paper:GLUE:non_monotone					At the age of 24, she was betrothed to prince albert victor, duke of clarence and avondale, the eldest able-bodied son of the prince of wales, but six weeks after the announcement of the engagement, he died unexpectedly of pneumonia.	At the age of 24, she was betrothed to prince albert victor, duke of clarence and avondale, the eldest son of the prince of wales, but six weeks after the announcement of the engagement, he died unexpectedly of pneumonia.						neutral
87	87	87	paper:GLUE:Redundancy:Restrictivity:non_monotone					There are four supraocular scales (above the eyes) in almost all specimens and five supraciliary scales (immediately above the eyes, below the supraoculars).	There are four scales above the eyes in almost all specimens and five supraciliary scales (immediately above the eyes, below the supraoculars).						entailment
88	88	88	paper:GLUE:Redundancy:Restrictivity:non_monotone					There are four scales above the eyes in almost all specimens and five supraciliary scales (immediately above the eyes, below the supraoculars).	There are four supraocular scales (above the eyes) in almost all specimens and five supraciliary scales (immediately above the eyes, below the supraoculars).						entailment
89	89	89	paper:GLUE:lexical_knowledge:downward_monotone:Existential:Negation:npi					Regional governors could not rely on the king for help in times of crisis, and the ensuing food shortages and political disputes escalated into famines and small-scale civil wars.	Regional governors could not rely on anyone for help in times of crisis, and the ensuing food shortages and political disputes escalated into famines and small-scale civil wars.						neutral
90	90	90	paper:GLUE:lexical_knowledge:downward_monotone:Existential:Negation					Regional governors could not rely on anyone for help in times of crisis, and the ensuing food shortages and political disputes escalated into famines and small-scale civil wars.	Regional governors could not rely on the king for help in times of crisis, and the ensuing food shortages and political disputes escalated into famines and small-scale civil wars.						entailment
91	91	91	paper:GLUE:Redundancy:upward_monotone					The 15th tank corps was a tank corps of the soviet union's red army.	The 15th tank corps was a corps of the soviet union's red army.						entailment
92	92	92	paper:GLUE:Redundancy:upward_monotone					The 15th tank corps was a corps of the soviet union's red army.	The 15th tank corps was a tank corps of the soviet union's red army.						entailment
93	93	93	paper:GLUE:Redundancy:Intersectivity:upward_monotone:World knowledge:lexical_knowledge					In grounded communication tasks, speakers face pressures in choosing referential expressions that distinguish their targets from others in the context, leading to many kinds of pragmatic meaning enrichment.	In grounded communication tasks, speakers face pressures in choosing referential expressions that distinguish their targets from others in the context, leading to many kinds of meaning enrichment.						entailment
94	94	94	paper:GLUE:Redundancy:Intersectivity:upward_monotone:World knowledge:lexical_knowledge					In grounded communication tasks, speakers face pressures in choosing referential expressions that distinguish their targets from others in the context, leading to many kinds of meaning enrichment.	In grounded communication tasks, speakers face pressures in choosing referential expressions that distinguish their targets from others in the context, leading to many kinds of pragmatic meaning enrichment.						entailment
95	95	95	paper:GLUE:Restrictivity:non_monotone					While most successful approaches for reading comprehension rely on recurrent neural networks (RNNs), running them over long documents is prohibitively slow because it is difficult to parallelize over sequences.	While most approaches for reading comprehension rely on recurrent neural networks (RNNs), running them over long documents is prohibitively slow because it is difficult to parallelize over sequences.						neutral
96	96	96	paper:GLUE:Restrictivity:non_monotone					While most approaches for reading comprehension rely on recurrent neural networks (RNNs), running them over long documents is prohibitively slow because it is difficult to parallelize over sequences.	While most successful approaches for reading comprehension rely on recurrent neural networks (RNNs), running them over long documents is prohibitively slow because it is difficult to parallelize over sequences.						neutral
97	97	97	paper:GLUE:Conjunction:upward_monotone					Understanding a long document requires tracking how entities are introduced and evolve over time.	Understanding a long document requires understanding how entities are introduced.						entailment
98	98	98	paper:GLUE:Conjunction:upward_monotone					Understanding a long document requires understanding how entities are introduced.	Understanding a long document requires tracking how entities are introduced and evolve over time.						neutral
99	99	99	paper:GLUE:Intersectivity:downward_monotone					So there is no dedicated memory block for every entity and no distinction between entity mentions and non-mention words.	So there is no dedicated high-dimensional memory block for every entity and no distinction between entity mentions and non-mention words.						entailment
100	100	100	paper:GLUE:Intersectivity:downward_monotone					So there is no dedicated high-dimensional memory block for every entity and no distinction between entity mentions and non-mention words.	So there is no dedicated memory block for every entity and no distinction between entity mentions and non-mention words.						neutral
101	101	101	paper:GLUE:upward_monotone:npi					Indeed, it is often stated that for humans to learn how to perform adequately in a domain, one example is enough from which to learn.	Indeed, it is often stated that for humans to learn how to perform adequately in a domain, any number of examples is enough from which to learn.						neutral
102	102	102	paper:GLUE:upward_monotone					Indeed, it is often stated that for humans to learn how to perform adequately in a domain, any number of examples is enough from which to learn.	Indeed, it is often stated that for humans to learn how to perform adequately in a domain, one example is enough from which to learn.						neutral
103	103	103	paper:GLUE:Restrictivity:non_monotone					Looking at pictures online of people trying to take photos of mirrors they want to sell is my new thing.	Looking at pictures online of people trying to take photos of mirrors is my new thing.						neutral
104	104	104	paper:GLUE:Restrictivity:non_monotone					Looking at pictures online of people trying to take photos of mirrors is my new thing.	Looking at pictures online of people trying to take photos of mirrors they want to sell is my new thing.						neutral
105	105	105	paper:GLUE:Intersectivity:upward_monotone					A serene wind rolled across the glade.	A wind rolled across the glade.						entailment
106	106	106	paper:GLUE:Intersectivity:upward_monotone					A wind rolled across the glade.	A serene wind rolled across the glade.						neutral
107	107	107	paper:GLUE:Restrictivity:Relative clauses:downward_monotone					I don't want to have to keep entertaining people who don't value my time.	I don't want to have to keep entertaining people.						neutral
108	108	108	paper:GLUE:Restrictivity:Relative clauses:downward_monotone					I don't want to have to keep entertaining people.	I don't want to have to keep entertaining people who don't value my time.						entailment
109	109	109	paper:GLUE:Intersectivity:non_monotone					The first pleasurable experience I had interacting with another human being was at the age of seventeen.	The first experience I had interacting with another human being was at the age of seventeen.						neutral
110	110	110	paper:GLUE:Intersectivity:non_monotone					The first experience I had interacting with another human being was at the age of seventeen.	The first pleasurable experience I had interacting with another human being was at the age of seventeen.						neutral
111	111	111	paper:GLUE:Intersectivity:non_monotone					The first pleasurable experience I had interacting with another human being was at the age of seventeen.	The first displeasurable experience I had interacting with another human being was at the age of seventeen.						neutral
112	112	112	paper:GLUE:Intersectivity:non_monotone					The first displeasurable experience I had interacting with another human being was at the age of seventeen.	The first pleasurable experience I had interacting with another human being was at the age of seventeen.						neutral
113	113	113	paper:GLUE:Intersectivity:upward_monotone					The leading car gradually shifted to the left lane.	The leading car shifted to the left lane.						entailment
114	114	114	paper:GLUE:Intersectivity:upward_monotone					The leading car shifted to the left lane.	The leading car gradually shifted to the left lane.						neutral
115	115	115	paper:GLUE:lexical_knowledge:downward_monotone					The timing of the meeting has not been set, according to a starbucks spokesperson.	The timing of the meeting has not been considered, according to a starbucks spokesperson.						neutral
116	116	116	paper:GLUE:lexical_knowledge:downward_monotone					The timing of the meeting has not been considered, according to a starbucks spokesperson.	The timing of the meeting has not been set, according to a starbucks spokesperson.						entailment
117	117	117	paper:GLUE:Morphological negation:upward_monotone					Some of the orator's statements were incomprehensible, but the crowd loved them.	Some of the orator's statements were comprehensible, but the crowd loved them.						neutral
118	118	118	paper:GLUE:Morphological negation:upward_monotone					Some of the orator's statements were comprehensible, but the crowd loved them.	Some of the orator's statements were incomprehensible, but the crowd loved them.						neutral
119	119	119	paper:GLUE:upward_monotone:World knowledge:lexical_knowledge					There are some amazing hikes around Mt. Fuji.	There are some amazing hikes in Japan.						entailment
120	120	120	paper:GLUE:upward_monotone:World knowledge:lexical_knowledge					There are some amazing hikes in Japan.	There are some amazing hikes around Mt. Fuji.						neutral
121	121	121	paper:GLUE:upward_monotone:World knowledge:lexical_knowledge					There are some amazing hikes around Mt. Fuji.	There are some amazing hikes in nepal.						neutral
122	122	122	paper:GLUE:upward_monotone:World knowledge:lexical_knowledge					There are some amazing hikes in nepal.	There are some amazing hikes around Mt. Fuji.						neutral
123	123	123	paper:GLUE:lexical_knowledge:upward_monotone					There are some amazing hikes around Mt. Fuji.	There are some strenuous hikes around Mt. Fuji.						neutral
124	124	124	paper:GLUE:lexical_knowledge:upward_monotone					There are some strenuous hikes around Mt. Fuji.	There are some amazing hikes around Mt. Fuji.						neutral
125	125	125	paper:GLUE:Intersectivity:downward_monotone					An experienced sommelier knows the difference between the 2009 and 2013 vintage of a German riesling.	A sommelier knows the difference between the 2009 and 2013 vintage of a German riesling.						neutral
126	126	126	paper:GLUE:Intersectivity:downward_monotone					A sommelier knows the difference between the 2009 and 2013 vintage of a German riesling.	An experienced sommelier knows the difference between the 2009 and 2013 vintage of a German riesling.						entailment
127	127	127	paper:GLUE:Intersectivity:downward_monotone					An experienced sommelier knows the difference between the 2009 and 2013 vintage of a German riesling.	An Italian sommelier knows the difference between the 2009 and 2013 vintage of a German riesling.						neutral
128	128	128	paper:GLUE:Intersectivity:downward_monotone					An Italian sommelier knows the difference between the 2009 and 2013 vintage of a German riesling.	An experienced sommelier knows the difference between the 2009 and 2013 vintage of a German riesling.						neutral
129	129	129	paper:GLUE:Intersectivity:non_monotone					So far two of my cherry trees have already bloomed, and it's not even april.	So far two of my trees have already bloomed, and it's not even april.						neutral
130	130	130	paper:GLUE:Intersectivity:non_monotone					So far two of my trees have already bloomed, and it's not even april.	So far two of my cherry trees have already bloomed, and it's not even april.						neutral
131	131	131	crowd:downward_monotone:conjunction					Colourless is a world without language.	The absence of color and the senses is a world without language.						neutral
132	132	132	crowd:downward_monotone					Colourless is a world without language.	A life without colors that make our lives happy is a world without language.						neutral
133	133	133	crowd:upward_monotone:lexical_knowledge					I want to become a singer, at any cost.	I want to become a bad boy.						neutral
134	134	134	crowd:upward_monotone					Some people say thirteen is an unlucky number.	Some people say thirteen is an unlucky date to propose a girl.						neutral
135	135	135	crowd:upward_monotone:lexical_knowledge:npi					Nancy can't decide anything for herself.	My friend can't decide anything for herself.						neutral
136	136	136	crowd:upward_monotone:lexical_knowledge:npi					Nancy can't decide anything for herself.	This man can't decide anything for herself.						neutral
137	137	137	crowd:upward_monotone:anaphora					Jack doesn't drive fast.	That man doesn't drive fast.						neutral
138	138	138	crowd:upward_monotone:lexical_knowledge					Some children learn languages easily and others with difficulty.	Some children learn math easily and others with difficulty.						neutral
139	139	139	crowd:upward_monotone:lexical_knowledge:reverse					I can not do without sugar in my coffee.	I can not do without milk in my coffee.						neutral
140	140	140	crowd:upward_monotone:lexical_knowledge:reverse					I can not do without sugar in my coffee.	I can not do without lemon in my coffee.						neutral
141	141	141	crowd:upward_monotone					Some Germans work for only one euro an hour.	Some Germans work for only one euro an hour without holiday pay.						neutral
142	142	142	crowd:upward_monotone					Some Germans work for only one euro an hour without holiday pay.	Some Germans work for only one euro an hour.						entailment
143	143	143	crowd:upward_monotone:lexical_knowledge:reverse					You can't live without oxygen.	You can't live without the atmosphere.						neutral
144	144	144	crowd:upward_monotone:lexical_knowledge:reverse					You can't live without oxygen.	You can't live without food.						neutral
145	145	145	crowd:upward_monotone:lexical_knowledge:reverse					You can't live without oxygen.	You can't live without house.						neutral
146	146	146	crowd:upward_monotone					Every sentence in that book is important.	Every sentence in that syllabus book is important.						neutral
147	147	147	crowd:upward_monotone					Every sentence in that syllabus book is important.	Every sentence in that book is important.						entailment
148	148	148	crowd:upward_monotone:lexical_knowledge					Hysteria is no laughing matter.	Frenzy is no laughing matter.						neutral
149	149	149	crowd:upward_monotone:lexical_knowledge					Hysteria is no laughing matter.	Wildness is no laughing matter.						neutral
150	150	150	crowd:upward_monotone					All is in the hands of man, therefore wash them often.	All is in the hands of different entity, therefore wash them often.						neutral
151	151	151	crowd:upward_monotone					All is in the hands of man, therefore wash them often.	They will always be in the hands of man.						neutral
152	152	152	crowd:upward_monotone					Some flowers bloom in spring and others in autumn.	Some rose flowers bloom in spring and others in autumn.						neutral
153	153	153	crowd:upward_monotone:lexical_knowledge					Things didn't go well.	That stuff didn't go well.						neutral
154	154	154	crowd:upward_monotone					All the players were in position.	All the players were in defending position.						neutral
155	155	155	crowd:upward_monotone					All the players were in defending position.	All the players were in position.						entailment
156	156	156	crowd:upward_monotone:lexical_knowledge					All the players were in position.	All the players were in its place.						neutral
157	157	157	crowd:upward_monotone:lexical_knowledge:reverse					Life can not exist without water.	Forests can not exist without water.						neutral
158	158	158	crowd:upward_monotone:lexical_knowledge:reverse					Life can not exist without water.	The rivers can not exist without water.						neutral
159	159	159	crowd:upward_monotone:lexical_knowledge:reverse					Life can not exist without water.	The sea can not exist without water.						neutral
160	160	160	crowd:upward_monotone:conjunction					Wet firewood doesn't burn well.	Wet firewood and carbon doesn't burn well.						neutral
161	161	161	crowd:upward_monotone:conjunction					Wet firewood and carbon doesn't burn well.	Wet firewood doesn't burn well.						entailment
162	162	162	crowd:upward_monotone:lexical_knowledge					I have French nationality but vietnamese origins.	I have French nationality, but jewish blood flows in me.						neutral
163	163	163	crowd:upward_monotone:lexical_knowledge					I have French nationality but vietnamese origins.	I have French nationality, but my father is from guinea.						neutral
164	164	164	crowd:upward_monotone					All the schools are closed on that holiday.	All the schools are closed on that summer holiday.						neutral
165	165	165	crowd:upward_monotone					All the schools are closed on that holiday.	All the schools are closed on that thanksgiving holiday.						neutral
166	166	166	crowd:upward_monotone:lexical_knowledge					It is a great pity that you don't know it.	It is a great person on the inside.						neutral
167	167	167	crowd:downward_monotone:lexical_knowledge					That was a fight which had no chance of a successful outcome.	That was a dilemma which had no chance of a successful outcome.						neutral
168	168	168	crowd:upward_monotone:lexical_knowledge					He expressed his opinion in a few words.	He expressed his opinion in a few paragraphs.						neutral
169	169	169	crowd:upward_monotone					Tom swims every other day.	Tom swims in pool every other day.						neutral
170	170	170	crowd:upward_monotone					Tom swims in pool every other day.	Tom swims every other day.						entailment
171	171	171	crowd:upward_monotone					Tom swims every other day.	Tom swims freestyle every other day.						neutral
172	172	172	crowd:upward_monotone:lexical_knowledge					Tom goes to bed at the same time every night.	Tom goes to cook to drink water at the same time every night.						neutral
173	173	173	crowd:upward_monotone:lexical_knowledge					Tom goes to bed at the same time every night.	Tom goes to the shower at the same time every night.						neutral
174	174	174	crowd:upward_monotone:lexical_knowledge					Tom goes to bed at the same time every night.	Tom goes to garage at the same time every night.						neutral
175	175	175	crowd:upward_monotone:lexical_knowledge					Tom goes to bed at the same time every night.	Tom goes to barn at the same time every night.						neutral
176	176	176	crowd:upward_monotone					Tom goes to bed at the same time every night.	Tom goes to rachel's bed at the same time every night.						neutral
177	177	177	crowd:upward_monotone					A squirrel is taking a bath in the pond.	A squirrel in summer is taking a bath in the pond.						neutral
