Pair_id	SentenceA	SentenceB	SICK_original_label	corrected_label
253	A hiker is on top of the mountain and is doing a joyful dance	A hiker is on top of the mountain and is dancing	AeBBnA	AeBBnA
255	A man is on a rock high above some trees and is standing in an uncomfortable position	A man is on a rock high above some trees and is standing in a strange position	AeBBnA	AnBBnA
265	The brown horse is very near a red barrel at the rodeo	The brown horse is near a red barrel at the rodeo	AeBBnA	AeBBnA
273	A boy is standing in the cold water	A boy is standing in the water	AeBBnA	AeBBnA
282	A skilled man is playing a guitar on stage	A man is playing a guitar on stage	AeBBnA	AeBBnA
283	A man is playing a guitar on stage	There is no man playing a guitar on stage	AcBBcA	AcBBcA
293	Two young girls are sitting on the ground	Two girls are sitting on the ground	AeBBnA	AeBBnA
294	Two girls are lying on the ground	Two girls are sitting on the ground	AnBBnA	AcBBcA
305	A nude lady is walking in front of a crowd in body paint	A topless girl is covered in paint	AeBBnA	AeBBnA
311	A group of people is near the ocean	A crowd of people is near the water	AeBBnA	AeBBnA
314	A group of children in uniforms is standing at a gate and there is no one kissing the mother	A group of children in uniforms is standing at a gate and one is kissing the mother	AcBBcA	AcBBcA
324	A man is pointing at a silver sedan	A man is pointing at a car	AeBBnA	AeBBnA
331	A group of people is on a beach	A group of people is near the sea	AeBBnA	AeBBnA
333	A man a woman and two girls are walking on the beach	Four people are walking on the beach	AeBBnA	AeBBnA
336	A man a woman and two girls are sitting on the beach	A group of people is on a beach	AeBBnA	AeBBnA
337	A man a woman and two girls are walking on the beach	A group of people is near the sea	AeBBnA	AeBBnA
339	A man a woman and two girls are walking on the beach	A group of people is on a beach	AeBBnA	AeBBnA
340	A schoolgirl with a black bag is on a crowded train	A girl with a black bag is on a crowded train	AeBBnA	AeBBnA
341	There is no girl with a black bag on a crowded train	A girl with a black bag is on a crowded train	AcBBcA	AcBBcA
344	An Asian woman in a crowd is not carrying a black bag	An Asian woman in a crowd is carrying a black bag	AcBBnA	AcBBcA
354	Two dogs are running and carrying a toy in their mouths	Two dogs are running and carrying an object in their mouths	AeBBnA	AeBBnA
361	A dog is chasing another and is holding a stick in its mouth	Two dogs are running and carrying an object in their mouths	AeBBnA	AnBBnA
362	A dirty soccer ball is rolling into a goal net	A soccer ball is rolling into a goal net	AeBBnA	AeBBnA
363	A soccer ball is not rolling into a goal net	A soccer ball is rolling into a goal net	AcBBcA	AcBBcA
371	A man is resting on a chair and rubbing his eyes	A man is sitting on a chair and rubbing his eyes	AeBBnA	AeBBnA
372	A man is sitting on a chair and rubbing his eyes	There is no man sitting on a chair and rubbing his eyes	AcBBcA	AcBBcA
373	A man with tattoos is lounging on a couch and holding a pencil	A tattooed man is on a sofa and is holding a pencil	AeBBnA	AeBBnA
384	A white and tan dog is running through the tall and green grass	A white and tan dog is running through a field	AeBBnA	AnBBnA
390	A white and tan dog is running through the tall and green grass	A brown and white dog is running through the tall grass	AeBBnA	AeBBnA
406	A group of scouts are hiking through the grass	People are walking	AeBBnA	AeBBnA
408	A group of explorers are walking through the grass	Some people are walking	AeBBnA	AeBBnA
410	A group of scouts are hiking through the grass	Some people are walking	AeBBnA	AeBBnA
414	Two men are holding bikes and standing on the side of a road covered of snow	Two men with bikes are on the side of a snowy road	AeBBnA	AeBBnA
422	Two men are holding fishing poles and fishing tackle	Two men are holding fishing poles	AeBBnA	AeBBnA
423	Two men are not holding fishing poles	Two men are holding fishing poles	AcBBcA	AcBBcA
424	Two men are standing near the water and are holding fishing poles	Two men are standing near the water and are holding tools used for fishing	AeBBnA	AeBBnA
432	Two men are standing near the water and are holding fishing poles	Two men are holding fishing poles	AeBBnA	AeBBnA
445	A lady is surfing and riding a wave	A woman is surfing	AeBBnA	AeBBnA
453	Two children and an adult are standing next to a tree limb	Three people are standing next to a tree limb	AeBBnA	AeBBnA
454	Two children and an adult are standing next to a tree limb	Two children and an adult are not standing next to a tree limb	AcBBcA	AcBBcA
455	Two children are hanging on a large branch	Two children are climbing a tree	AeBBnA	AnBBnA
466	A man is performing a trick on a green bicycle	There is no man performing a trick on a green bicycle	AcBBcA	AcBBcA
469	A man is performing a trick on a green bicycle	A man is performing a trick on a bike	AeBBnA	AeBBnA
473	A boy is holding a squirt gun	A child is holding a squirt gun	AeBBnA	AeBBnA
474	There is no child holding a squirt gun	A child is holding a squirt gun	AcBBcA	AcBBcA
477	A child with a gun that sprays water is laughing and getting hit by other boys	A child is holding a squirt gun	AeBBnA	AeBBnA
481	A laughing child is holding a water gun and getting sprayed with water	A child is holding a squirt gun	AeBBnA	AeBBnA
482	Two brown dogs are fighting over a red ball and are playing in the grass	Two brown dogs are fighting over a red toy and are playing in the grass	AeBBnA	AeBBnA
502	A man is sitting comfortably at a table	A person is sitting comfortably at the table	AeBBnA	AeBBnA
503	A man isn't sitting comfortably at the table	A man is sitting comfortably at a table	AcBBcA	AcBBcA
515	A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians	A woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians	AeBBnA	AeBBnA
518	The woman wearing silver pants pink bellbottoms and a pink scarf is happily riding a bike	The woman wearing silver pants pink bellbottoms and a pink scarf is riding a bike	AeBBnA	AeBBnA
519	The woman wearing silver pants, pink bellbottoms and a pink scarf isn't riding a bike	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike	AcBBcA	AcBBcA
542	The man in a grey t-shirt is sitting on a rock in front of the waterfall	There is no man in a grey t-shirt sitting on a rock in front of the waterfall	AcBBcA	AcBBcA
554	A dog which is brown and a black one are racing in the grass	A dog which is brown and a black one are running in the grass	AeBBnA	AeBBnA
580	A group of boys are playing with a ball in front of a large door meronymy wood	A bunch of boys are playing with a ball in front of a large door meronymy wood	AeBBeA	AeBBeA
584	The children aren't playing in front of a large door	The children are playing in front of a large door	AcBBcA	AcBBcA
585	A group of boys are playing with a ball in front of a large door made of wood	The children are playing in front of a door which is very large	AeBBnA	AeBBnA
587	A bunch of boys are playing with a ball in front of a large door made of wood	The children are playing in front of a large door	AeBBnA	AeBBnA
590	A group of boys are playing with a ball in front of a large door made of wood	The children are playing in front of a large door	AeBBnA	AeBBnA
591	A woman is taking off a cloak which is very large and revealing an extravagant dress	A woman is taking off a cloak which is very large and revealing extravagant apparel	AeBBnA	AeBBnA
594	There is no black, red, white and pink dress being worn by a woman	A black, red, white and pink dress is being worn by a woman	AcBBcA	AcBBcA
600	The teenage girl is wearing beads that are red	A teenage girl is wearing beads that are red	AeBBeA	AeBBeA
604	A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling	There is no young lady with light brown hair wearing a red necklace, a sweatshirt and earrings and smiling	AcBBcA	AcBBcA
612	A young lady with light brown hair is wearing a red necklace a sweatshirt and earrings and is smiling	A teenage girl is wearing beads that are red	AeBBnA	AeBBnA
629	The man is tossing a kid into the swimming pool that is near the ocean	One man is tossing a kid into the swimming pool that is near the ocean	AeBBeA	AeBBeA
639	One man is climbing the cliff with a rope	One man is climbing a cliff with a rope	AeBBeA	AeBBeA
645	A rock is being climbed by a person with a rope which is pink	One man is climbing a cliff with a rope	AeBBnA	AeBBnA
648	A person is climbing a rock with a rope which is pink	One man is climbing the cliff with a rope	AeBBnA	AeBBnA
652	The young boy is climbing the wall made of rock	One young boy is climbing a wall made of rock	AeBBeA	AeBBeA
653	A young boy isn't climbing a wall made of rock	The young boy is climbing the wall made of rock	AcBBcA	AcBBcA
655	A young child is climbing a rock climbing wall which is indoors	A young kid is climbing a rock climbing wall which is indoors	AeBBeA	AeBBeA
667	A cyclist is fearlessly performing a trick in the air	The cyclist is performing a trick in the air	AeBBnA	AeBBnA
668	The cyclist is performing a trick in the air	The cyclist isn't performing a trick in the air	AcBBcA	AcBBcA
673	One man is doing a trick with a bicycle in midair	The cyclist is performing a trick in the air	AeBBnA	AnBBnA
675	One man is doing a bicycle trick in midair	The cyclist is performing a trick in the air	AeBBnA	AeBBnA
679	Two dogs of different breeds are looking angrily at each other across a street	Two dogs of different breeds are looking at each other across a street	AeBBnA	AeBBnA
705	A man and a woman are sitting comfortably on the bench	Two people are sitting comfortably on the bench	AeBBnA	AeBBnA
713	One man is leading the race	A man is leading the race	AeBBeA	AeBBeA
716	A few men in a competition are running outside	A few men in a competition are running outdoors	AeBBeA	AeBBeA
717	A few men in a competition are running outside	A few men in a competition are running indoors	AcBBcA	AcBBcA
727	A man with a camera is studying the subject	There is no man with a camera studying the subject	AcBBcA	AcBBcA
730	The man in the purple hat isn't operating a camera that makes videos	The man in the purple hat is operating a camera that makes videos	AcBBcA	AcBBcA
737	The bride and the groom are leaving after the marriage	The bride and the groom are leaving after the wedding	AeBBeA	AeBBeA
738	The bride and the groom are arriving after the wedding	The bride and the groom are leaving after the wedding	AcBBnA	AcBBcA
741	A married couple is walking up the aisle	A married couple is walking down the aisle	AeBBnA	AcBBcA
743	A couple who have just got married are walking down the isle	The bride and the groom are leaving after the wedding	AeBBnA	AnBBnA
750	The students are filling the classroom	A classroom is full of students	AeBBnA	AeBBnA
753	The presentation isn't being watched by a classroom of students	The presentation is being watched by a classroom of students	AcBBcA	AcBBcA
758	The presentation is being watched by a classroom of students	A classroom is full of students	AeBBnA	AnBBnA
762	The kid is happily sliding in the snow	The kid is sliding in the snow	AeBBnA	AeBBnA
766	A boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees	The kid is still in the snow	AeBBnA	AnBBnA
772	A woman and a dog are peacefully sitting on a tree stump	A woman and a dog are sitting on a tree stump	AeBBnA	AeBBnA
781	A dog is excitedly playing with water in a field	A dog is excitedly playing with water in the grass	AeBBnA	AnBBnA
782	A dog is excitedly playing with water in the grass	There is no dog excitedly playing with water in the grass	AcBBcA	AcBBcA
784	The dog is biting some droplets of water	The dog is snapping at some droplets of water	AeBBnA	AnBBnA
785	The dog is snapping at some droplets of water	The dog isn't snapping at some droplets of water	AcBBcA	AcBBcA
794	Two men are walking two dogs with golden coats in the snow	Two people are walking two dogs with golden coats in the snow	AeBBnA	AeBBnA
796	Two people are in the snow wearing clothes that provide camouflage	Some people are in the snow wearing clothes that provide camouflage	AeBBnA	AeBBnA
807	A girl is looking on surprised from a front window in a house in Asia.	A girl from Asia in front of a brick window looks surprised	AeBBnA	AnBBnA
817	A group of people is equipped with protective gear	A group of people is equipped with unprotective gear	AnBBcA	AcBBcA
829	The boy on the grass is lying and is hiding the football between his feet	The football is between the feet of a boy who is lying on the grass	AeBBnA	AeBBnA
830	The little kid is playing football and falling harmlessly into the grass	The little kid is playing football and falling into the grass	AeBBnA	AeBBnA
831	There is no little kid playing football and falling into the grass	The little kid is playing football and falling into the grass	AcBBcA	AcBBcA
844	A woman with a ponytail is climbing down a wall of rock	A woman with a ponytail is climbing a wall of rock	AeBBnA	AnBBnA
853	A black and a white dog are joyfully running on the grass	A dog which has a black coat and a white dog are running on the grass	AeBBnA	AeBBnA
856	One white dog and one black one are cheerfully running side by side on the grass	One white dog and one black one are running side by side on the grass	AeBBnA	AeBBnA
858	One white dog and one black one are cheerfully running side by side on the grass	A black and a white dog are joyfully running on the grass	AeBBnA	AeBBnA
860	One white dog and one black one are running side by side on the grass	A dog which has a black coat and a white dog are running on the grass	AeBBnA	AeBBnA
864	A lot of people are in an ice skating park	Not a lot of people are in an ice skating park	AcBBcA	AcBBcA
867	The ice skating rink placed outdoors is full of people	An ice skating rink placed outdoors is full of people	AeBBeA	AeBBeA
870	The ice skating rink placed outdoors is full of people	A lot of people are in an ice skating park	AeBBnA	AeBBnA
875	Many people are skating in an ice park	An ice skating rink placed outdoors is full of people	AeBBnA	AnBBnA
876	An ice skating rink placed outdoors is full of people	A lot of people are in an ice skating park	AeBBnA	AeBBnA
877	A girl in a uniform which is blue is quickly raising her arm	A girl in a uniform which is blue is raising her arm.	AeBBnA	AeBBnA
881	The girl in the blue and white uniform isn't cheering	The girl in the blue and white uniform is cheering	AcBBcA	AcBBcA
890	A bunch of guys is on the shore	A bunch of people is on the shore	AeBBnA	AeBBnA
894	People are on a beach full of sand by the ocean and are enjoying a day full of sun	A bunch of people is on the shore	AeBBnA	AeBBnA
898	People are on a beach full of sand by the ocean and are enjoying a sunny day	A bunch of people is on the shore	AeBBnA	AeBBnA
902	The man is doing a wheelie with a motorbike in a field which is mostly barren	The man is doing a wheelie with a motorcycle on ground which is mostly barren	AeBBnA	AeBBnA
912	A woman is being kissed by a man	A lady is being kissed by a man	AeBBeA	AnBBeA
913	A woman is being kissed by a man	There is no woman being kissed by a man	AcBBcA	AcBBcA
914	Two people are passionately kissing near a crowd	Two people are kissing near a crowd	AeBBnA	AeBBnA
923	The young woman in a dyed red shirt is blowing a bubble that is huge	The girl in the red shirt is blowing a bubble 	AeBBnA	AeBBnA
930	The young woman in a dyed red shirt is blowing a bubble that is huge	The young girl is blowing a bubble that is huge	AeBBnA	AnBBnA
950	Two young kids are eating corndogs	Two young children are eating corndogs	AeBBeA	AeBBeA
953	Two toddlers are eating corndogs in a wagon which is really small	Two young children are eating corndogs	AeBBnA	AeBBnA
956	Some corndogs are being eaten by two toddlers who are in a wagon which is really small	Two young kids are eating corndogs	AeBBnA	AeBBnA
959	Two toddlers are eating corndogs in a wagon which is really small	Two young kids are eating corndogs	AeBBnA	AeBBnA
961	A man in a shirt dyed purple is walking away from a man in a black shirt who is serious	A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face	AeBBnA	AnBBnA
963	A man in a pose is being amusedly watched by another man	A man doing a pose is being watched by another man	AeBBnA	AeBBnA
965	A man is posing to be watched by another man	A man doing a pose is being watched by another man	AeBBnA	AnBBnA
966	A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face	A man in a pose is being amusedly watched by another man	AeBBnA	AnBBnA
969	A man in a shirt dyed purple is looking at a man in a black shirt who is doing a face which looks funny	A man doing a pose is being watched by another man	AeBBnA	AnBBnA
972	A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face	A man doing a pose is being watched by another man	AeBBnA	AnBBnA
986	An adult is in the amphitheater and is talking seriously to a boy	An adult is in the amphitheater and is talking to a boy	AeBBnA	AeBBnA
989	The man and the boy are standing at the bottom of the stairs, which are outdoors	A man and a boy are standing at the bottom of some stairs, which are outdoors	AeBBeA	AeBBeA
1002	There is no boy standing in front of the blue building in the space reserved for handicapped people	A boy is standing in front of the blue building in the space reserved for handicapped people	AcBBcA	AcBBcA
1010	The green field for horse races is completely full of Jockeys	The Jockeys are racing horses on the field which is completely green	AeBBnA	AnBBnA
1011	A few horses are racing furiously over the green grass and jumping the obstacle	Some horses are racing furiously over the green grass and jumping an obstacle	AeBBeA	AeBBnA
1021	A woman is wearing sunglasses of large size and is holding newspapers in both hands	The woman is wearing sunglasses of large size and is holding newspapers in both hands	AeBBeA	AeBBeA
1022	A woman is wearing sunglasses of large size and is holding newspapers in both hands	There is no woman wearing sunglasses of large size and holding newspapers in both hands	AcBBcA	AcBBcA
1032	One person who is practicing snowboarding jumps into the air	A person who is practicing snowboarding jumps into the air	AeBBeA	AeBBeA
1035	The snowboarder is leaping fearlessly over white snow	The snowboarder is leaping over white snow	AeBBnA	AeBBnA
1036	The snowboarder isn't leaping over white snow	The snowboarder is leaping over white snow	AcBBcA	AcBBcA
1038	The snowboarder is leaping fearlessly over white snow	A person who is practicing snowboarding jumps into the air	AeBBnA	AeBBnA
1041	The snowboarder is leaping over white snow	One person who is practicing snowboarding jumps into the air	AeBBnA	AeBBnA
1044	The snowboarder is leaping over white snow	A person who is practicing snowboarding jumps into the air	AeBBnA	AeBBnA
1048	A dog which is small is playing tirelessly on the green grass	A dog which is small is playing on the green grass	AeBBnA	AeBBnA
1059	The person isn't riding a motorbike on a sandy track	The person is riding a motorbike on a sandy track	AcBBcA	AcBBcA
1061	A man is riding a motorbike in the event related to motocross	A person is riding a motorbike in the event related to motocross	AeBBnA	AeBBnA
1062	A person is riding a motorbike in the event related to motocross	There is no person riding a motorbike in the event related to motocross	AcBBcA	AcBBcA
1074	The young girl with a pink shirt is peacefully lying on the grass	The young girl with a pink shirt isn't peacefully lying on the grass	AcBBcA	AcBBcA
1075	The young peaceful girl is lying about the grass found in the pink shirt	The young girl with a pink shirt is peacefully lying on the grass	AeBBnA	AnBBnA
1083	There is no large dog running on the grass with a tennis ball in its mouth	A large dog is running on the grass with a tennis ball in its mouth	AcBBcA	AcBBcA
1085	A dog which is large and gray is difficultly carrying a ball in its mouth and running across the grass	A dog which is large and gray is carrying a ball in its mouth and running across the grass	AeBBnA	AeBBnA
1094	A dog which is large and gray is carrying a ball in its mouth and running across the grass	A large dog is running on the grass with a tennis ball in its mouth	AeBBnA	AnBBnA
1098	A woman is riding a brown horse	A woman is riding a horse	AeBBnA	AeBBnA
1099	There is no woman riding a horse	A woman is riding a horse	AcBBcA	AcBBcA
1106	A man is opening a small package that contains headphones	A man is opening a package that contains headphones	AeBBnA	AeBBnA
1109	A man is singing and playing the guitar	A man is singing a song and playing the guitar	AeBBeA	AeBBeA
1110	There is no man singing and playing the guitar	A man is singing and playing the guitar	AcBBcA	AcBBcA
1121	A dog is riding a skateboard	An animal is riding a skateboard	AeBBnA	AeBBnA
1122	There is no dog riding a skateboard	A dog is riding a skateboard	AcBBcA	AcBBcA
1126	A sea turtle is hunting for fish	A sea turtle is hunting for food	AeBBnA	AeBBnA
1127	A sea turtle is not hunting for fish	A sea turtle is hunting for fish	AcBBcA	AcBBcA
1129	The turtle is following the red fish	The turtle is following the fish	AeBBnA	AeBBnA
1130	The turtle is following the fish	The turtle isn't following the fish	AcBBcA	AcBBcA
1140	There is no man driving the car	A man is driving a car	AcBBcA	AcBBcA
1141	A woman is dipping a prawn in batter	A woman is dipping a shrimp in batter	AeBBeA	AeBBeA
1142	There is no woman dipping a shrimp in batter	A woman is dipping a shrimp in batter	AcBBcA	AcBBcA
1148	A man is playing a guitar under a windows	A man is playing a guitar	AeBBnA	AeBBnA
1149	There is no man playing a guitar	A man is playing a guitar	AcBBcA	AcBBcA
1150	A man is playing a piano at a concert	A man is playing a piano	AeBBnA	AeBBnA
1151	A man is playing a piano	There is no man playing a piano	AcBBcA	AcBBcA
1157	A woman is adding ingredients to a big bowl	A woman is adding ingredients to a bowl	AeBBnA	AeBBnA
1159	A woman is cracking some eggs into a bowl	A woman is cracking some eggs into a container	AeBBnA	AeBBnA
1165	A woman is cracking some eggs into a bowl	A woman is adding ingredients to a bowl	AeBBnA	AeBBnA
1167	There is no woman slicing a carrot	A woman is slicing a carrot	AcBBcA	AcBBcA
1169	There is no woman slicing a potato	A woman is slicing a potato	AcBBcA	AcBBcA
1176	A woman is not boiling shrimps	A woman is boiling shrimps	AcBBcA	AcBBcA
1177	A woman is combing her hair	A woman is arranging her hair	AnBBnA	AeBBnA
1178	A woman is combing her hair	There is no woman combing her hair	AcBBcA	AcBBcA
1184	A man and a woman are hiking through a wooded area	A man and a woman are walking through a wooded area	AeBBeA	AeBBnA
1188	A man and a woman are walking together through wooded areas	A man and a woman are walking through a wooded area	AeBBnA	AeBBnA
1192	A man and a woman are walking together through the woods	A man and a woman are walking through a wooded area	AeBBnA	AeBBnA
1193	A man is making a speech on a podium	A man is speaking on a podium	AeBBnA	AeBBeA
1194	A man is speaking on a podium	There is no man speaking on a podium	AcBBcA	AcBBcA
1197	A man is speaking on a stage	There is no man speaking on a stage	AcBBcA	AcBBcA
1207	A woman is not talking on a telephone	A woman is talking on a telephone	AcBBcA	AcBBcA
1208	Two frightened boys are talking on the phone	Two boys are talking on the phone	AeBBnA	AeBBnA
1209	Two boys are talking on the phone	Two boys are not talking on the phone	AcBBcA	AcBBcA
1216	There is no monkey wading through a marsh	A monkey is wading through a marsh	AcBBcA	AcBBcA
1217	A small monkey is walking in the river	A small monkey is walking through water	AeBBnA	AeBBnA
1224	A man is slicing a bun	A man is cutting a bun	AeBBeA	AeBBnA
1225	A man is slicing a bun	There is no man slicing a bun	AcBBcA	AcBBcA
1226	A man is slicing a red tomato	A man is slicing a tomato	AeBBnA	AeBBnA
1227	A man is slicing a tomato	There is no man slicing a tomato	AcBBcA	AcBBcA
1233	A woman is dancing and singing in the rain	A woman is performing in the rain	AeBBnA	AeBBnA
1234	A woman is dancing and singing in the rain	There is no woman dancing and singing in the rain	AcBBcA	AcBBcA
1243	A woman is peeling a potato	There is no woman peeling a potato	AcBBcA	AcBBcA
1245	A woman is slicing a tomato	There is no woman slicing a tomato	AcBBcA	AcBBcA
1252	There is no woman mixing eggs	A woman is mixing eggs	AcBBcA	AcBBcA
1253	The hungry woman is eating	The woman is eating	AeBBnA	AeBBnA
1261	A band is not performing on a stage	A band is performing on a stage	AcBBcA	AcBBcA
1270	There is no man mixing	A man is mixing	AcBBcA	AcBBcA
1272	A man is mowing a lawn	A man is not mowing a lawn	AcBBcA	AcBBcA
1280	A man is walking in a yard	A man is walking outside	AeBBnA	AeBBnA
1281	There is no man walking outside	A man is walking outside	AcBBcA	AcBBcA
1287	A black cat is swinging on a fan	A cat is swinging on a fan	AeBBnA	AeBBnA
1288	There is no cat swinging on a fan	A cat is swinging on a fan	AcBBcA	AcBBcA
1297	A man is playing flute	There is no man playing flute	AcBBcA	AcBBcA
1299	A man is playing soccer	A man is playing a game with a ball	AeBBnA	AeBBnA
1300	There is no man playing soccer	A man is playing soccer	AcBBcA	AcBBcA
1309	A man is frying a tortilla	A man is frying food	AeBBnA	AeBBnA
1310	There is no man frying a tortilla	A man is frying a tortilla	AcBBcA	AcBBcA
1312	A person is performing a card trick	Nobody is performing a card trick	AcBBcA	AcBBcA
1318	A boy is spanking a man with a plastic sword	A boy is spanking a man with a toy weapon	AeBBnA	AeBBnA
1319	A boy is spanking a man with a plastic sword	A boy is spanking a woman with a plastic sword	AnBBnA	AcBBcA
1321	A boy is whacking a man with a sword	A man is being hit by a kid with a weapon	AeBBnA	AeBBnA
1324	A boy is spanking a man with a plastic sword	A man is being hit by a kid with a weapon	AeBBnA	AeBBnA
1330	A boy is spanking a man with a plastic sword	A boy is whacking a man with a sword	AeBBnA	AnBBnA
1331	The young lady is measuring the ankle of another woman	The lady is measuring the ankle of another woman	AeBBnA	AeBBnA
1332	The lady isn't measuring the ankle of another woman	The lady is measuring the ankle of another woman	AcBBcA	AcBBcA
1335	The lady is measuring the ankle of another woman	A woman is being measured by another woman	AeBBnA	AeBBnA
1337	The young lady is measuring the ankle of another woman	The woman is measuring the other woman	AeBBnA	AeBBnA
1339	The lady is measuring the ankle of another woman	The woman is measuring the other woman	AeBBnA	AeBBnA
1340	A man is talking on the phone	A man is making a phone call	AeBBnA	AeBBnA
1341	There is no man making a phone call	A man is making a phone call	AcBBcA	AcBBcA
1348	A man is making a call on a cell phone	A man is making a phone call	AeBBnA	AeBBnA
