index	task	verb	sentence	neg_sentence	complement	turker_pos_ratings	turker_neg_ratings	bert_pos_entailment_prob	bert_pos_contradiction_prob	bert_pos_neutral_prob	bert_neg_entailment_prob	bert_neg_contradiction_prob	bert_neg_neutral_prob	signature
10	to	attempt	People attempt to smooth their standard of living over time according to the life-cycle model of saving.	People do not attempt to smooth their standard of living over time according to the life-cycle model of saving.	People smooth their standard of living over time according to the life-cycle model of saving.	0.0,1.0,1.0	-1.0,-1.0,-1.0	0.9977423	0.00069524115	0.001562504	0.00021809693	0.99938846	0.00039337357	o/-
11	to	attempt	There was nothing online that could be useful for organizations attempting to address improper payments.	There was nothing online that could be useful for organizations not attempting to address improper payments.	There was nothing online that could be useful for organizations addressing improper payments.	2.0,2.0,2.0	-1.0,0.0,2.0	0.9986395	0.00030752303	0.0010529578	0.9983884	0.00042429834	0.0011873604	o/-
12	to	attempt	It's hard to imagine an aged person attempting to use this toothpaste in real life, said the manager.	It's hard to imagine an aged person not attempting to use this toothpaste in real life, said the manager.	It's hard to imagine an aged person using this toothpaste in real life, said the manager.	0.0,1.0,2.0	-2.0,-1.0,0.0	0.9986364	0.00036721065	0.0009963077	0.998464	0.00048163038	0.00105442	o/-
13	to	attempt	There are equally formidable obstacles when attempting to obtain funding from alcohol study sections.	There are equally formidable obstacles when not attempting to obtain funding from alcohol study sections.	There are equally formidable obstacles when obtaining funding from alcohol study sections.	1.0,1.0,2.0	-2.0,-1.0,0.0	0.9987503	0.00031225313	0.00093740685	0.0005252578	0.9987249	0.0007498034	o/-
14	to	attempt	Had he attempted to take the brill back with him, he would be caught in the torrent for sure.	Had he not attempted to take the brill back with him, he would be caught in the torrent for sure.	Had he taken the brill back with him, he would be caught in the torrent for sure.	0.0,1.0,1.0	-2.0,-1.0,1.0	0.99869925	0.00033450025000000003	0.0009662221	0.9985089	0.00066817	0.0008229286	o/-
15	to	attempt	When he attempts to lampoon what he sees as a silly orthodoxy, he often just gets it wrong.	When he does not attempt to lampoon what he sees as a silly orthodoxy, he often just gets it wrong.	When he lampoons what he sees as a silly orthodoxy, he often just gets it wrong.	0.0,1.0,2.0	-1.0,-1.0,1.0	0.99883884	0.00027350802	0.0008876316	0.998777	0.0003319735	0.0008910360000000002	o/-
16	to	attempt	Many attempt to submit without counsel or advice, and all fail due to this restriction. 	Many do not attempt to submit without counsel or advice, and all fail due to this restriction. 	Many submit without counsel or advice, and all fail due to this restriction.	0.0,1.0,2.0	-2.0,-1.0,-1.0	0.9987172	0.0005291219999999999	0.0007537751	0.0011753762	0.99746114	0.0013634964000000002	o/-
17	to	attempt	We attempted to build a world class finance organization without any vision or agenda.	We did not attempt to build a world class finance organization without any vision or agenda.	We built a world class finance organization without any vision or agenda.	0.0,0.0,1.0	-1.0,0.0,0.0	0.99858785	0.00040174453	0.0010104266	0.0008357673700000001	0.9984156	0.0007486938000000001	o/-
18	to	attempt	Big businesses have attempted to exploit the area's natural resources in the past.	Big businesses have not attempted to exploit the area's natural resources in the past.	Big businesses have exploited the area's natural resources in the past.	0.0,0.0,2.0	-2.0,-2.0,-1.0	0.99864465	0.00034338032	0.0010119951	0.00019967616	0.9993111	0.0004892511599999999	o/-
19	to	attempt	Several private sector and government executives attempted to hamper our project.	Several private sector and government executives did not attempt to hamper our project.	Several private sector and government executives hampered our project.	0.0,1.0,1.0	-2.0,-2.0,0.0	0.99851316	0.00024520644	0.0012416153	0.00011382866	0.99962866	0.0002575494	o/-
20	to	attempt	Anyone who attempts to enter after we have done so will be arrested immediately.	Anyone who does not attempt to enter after we have done so will be arrested immediately.	Anyone who enters after we have done so will be arrested immediately.	1.0,2.0,2.0	-1.0,0.0,1.0	0.99843085	0.00030192692	0.0012671751	0.0017194703	0.9964648000000002	0.0018158476	o/-
21	to	attempt	Britain first attempted to open trade with China in the 1400's and was accepted.	Britain first did not attempt to open trade with China in the 1400's and was accepted.	Britain first opened trade with china in the 1400's and was accepted.	1.0,1.0,2.0	-2.0,-2.0,-1.0	0.9982304	0.00035231255	0.0014172608	0.00027085497000000003	0.99917704	0.0005521089	o/-
22	to	attempt	Four agencies attempted to use information technologies to improve services.	Four agencies did not attempt to use information technologies to improve services.	Four agencies used information technologies to improve services.	1.0,1.0,1.0	-2.0,-2.0,-1.0	0.99846685	0.00028700547	0.0012462523	0.000690587	0.99818385	0.0011255785	o/-
23	to	intend	Congress intended to restrict representation for aliens.	Congress did not intend to restrict representation for aliens.	Congress restricted representation for aliens.	0.0,1.0,2.0	-2.0,0.0,1.0	0.9982222	0.0005876091	0.0011901672	0.0023749454	0.99578613	0.0018388779	o/o
24	to	start	I started to slink away.	I did not start to slink away.	I slunk away.	1.0,2.0,2.0	-2.0,-2.0,-2.0	0.998677	0.00020931741000000006	0.0011137011	0.00021008683	0.9995172	0.0002727704	+/-
25	to	start	He started to feel funny.	He did not start to feel funny.	He felt funny.	1.0,2.0,2.0	-2.0,-2.0,-2.0	0.99817383	0.00014344066	0.0016828370000000002	0.0016844523999999998	0.9965125	0.0018030248	+/-
26	to	get	We've got to find Tommy.	We've not got to find Tommy.	We've found tommy.	0.0,0.0,1.0	-1.0,0.0,0.0	0.9882521	0.0025917166	0.009156277	0.00012730516	0.99964094	0.00023183016	+/-
27	to	help	The worksharing programs have helped to make the process smoother.	The worksharing programs have not helped to make the process smoother.	The worksharing programs have made the process smoother.	1.0,2.0,2.0	-2.0,-2.0,-1.0	0.99860424	0.00021485063	0.0011809266	0.00016495203000000002	0.999524	0.00031110295	+/o
28	to	help	The Washington based organization helped to overturn the practice.	The Washington based organization did not help to overturn the practice.	The washington based organization overturned the practice.	-1.0,2.0,2.0	-2.0,-1.0,-1.0	0.99820995	0.0007223246000000001	0.0010677377	0.0014678275	0.9950832	0.0034490158	+/o
29	to	help	They thought that the hedge funds helped to stabilize the crisis.	They thought that the hedge funds did not help to stabilize the crisis.	They thought that the hedge funds stabilized the crisis.	1.0,1.0,2.0	-2.0,-1.0,1.0	0.99843174	0.00025877779	0.0013094306	0.00014852008	0.99958843	0.00026314493	+/o
30	to	help	The plan has helped to make the employees more efficient. 	The plan has not helped to make the employees more efficient. 	The plan has made the employees more efficient.	0.0,2.0,2.0	-2.0,-1.0,-1.0	0.99846077	0.00022870251	0.0013105713	0.00024194096	0.9993193	0.00043870782	+/o
31	to	help	The companion rule helped to keep prices reasonable.	The companion rule did not help to keep prices reasonable.	The companion rule kept prices reasonable.	1.0,1.0,2.0	-2.0,-1.0,0.0	0.9984305	0.00030880986	0.0012606779	0.0015306864000000002	0.9977253	0.0007440155599999999	+/o
32	to	help	Polish October helped to relax Communist controls.	Polish October did not help to relax Communist controls.	Polish october relaxed communist controls.	0.0,1.0,2.0	-1.0,-1.0,1.0	0.99844116	0.0004880149	0.001070846	0.00093500526	0.9981772	0.0008877456399999998	+/o
33	to	help	Lighted panels help to illuminate the manuscript.	Lighted panels do not help to illuminate the manuscript.	Lighted panels illuminate the manuscript.	1.0,1.0,2.0	-1.0,-1.0,-1.0	0.9979802	0.00047609088	0.0015437426	0.00043703604000000013	0.9987716999999998	0.00079112203	+/o
34	to	get	I've got to say something.  	I've not got to say something.  	I've said something ..	-2.0,0.0,0.0	-2.0,-2.0,0.0	0.9860288	0.0022851527	0.011686121	0.00051760697	0.9985696	0.00091273873	+/-
35	to	get	'You've got to be kidding.'	'You've not got to be kidding.'	` you've been kidding ..	-2.0,0.0,1.0	-2.0,0.0,0.0	0.98662335	0.003874863	0.009501868	0.00024165327	0.9992059	0.0005524271	+/-
36	to	get	I got to work early.	I did not get to work early.	I worked early.	1.0,2.0,2.0	-2.0,-1.0,-1.0	0.99879503	0.00016664487000000002	0.0010382447	0.0011014467	0.99730223	0.0015963641	+/-
37	to	start	She started to walk away.	She did not start to walk away.	She walked away.	1.0,1.0,2.0	-2.0,-2.0,-2.0	0.99843	0.00015454508	0.0014155748999999998	0.027201332	0.96789724	0.0049012806	+/-
38	to	start	In fact, I eventually started to like it.	In fact, I eventually did not start to like it.	In fact, i eventually liked it.	1.0,1.0,2.0	-2.0,-2.0,-1.0	0.9985681	0.00018854428	0.0012434161	0.00077257043	0.9980457	0.001181781	+/-
39	to	start	He started to travel west at daybreak.	He did not start to travel west at daybreak.	He travelled west at daybreak.	1.0,2.0,2.0	-2.0,-2.0,-1.0	0.9985513	0.00029914328	0.0011495182	0.0007415637400000001	0.9983815	0.0008768716000000001	+/-
40	to	start	At some point I started to like it.	At some point I did not start to like it.	At some point i liked it.	2.0,2.0,2.0	-1.0,-1.0,-1.0	0.9984652	0.0001561209	0.001378664	0.0012283653	0.9974372	0.0013344045	+/-
41	to	start	The thing started to grow brighter.	The thing did not start to grow brighter.	The thing grew brighter.	1.0,1.0,2.0	-2.0,-1.0,2.0	0.99860185	0.00015790157	0.0012402998	0.00017647888	0.9995444	0.0002792388	+/-
42	to	start	Drew started to consider his words.	Drew did not start to consider his words.	Drew considered his words.	0.0,1.0,1.0	-2.0,-2.0,-1.0	0.99890935	0.00019651312	0.0008942211	0.0009521997	0.9981558	0.0008920721000000002	+/-
43	to	start	Everything started to look beige.	Everything did not start to look beige.	Everything looked beige.	0.0,1.0,2.0	-2.0,-2.0,-1.0	0.9986103	0.000228492	0.001161231	0.0002511917	0.9993869	0.0003619463200000001	+/-
44	to	attempt	We have attempted to make the hiring process more comprehensive than ever.	We have not attempted to make the hiring process more comprehensive than ever.	We have made the hiring process more comprehensive than ever.	1.0,1.0,1.0	-1.0,-1.0,0.0	0.99807304	0.00046199767	0.0014650543	0.00011224149	0.9997104	0.00017737797	o/-
45	to	attempt	The Post Office is forbidden from ever attempting to close any office.	The Post Office is forbidden from ever not attempting to close any office.	The post office is forbidden from ever closing any office.	2.0,2.0,2.0	-1.0,-1.0,1.0	0.9987954	0.00022504116000000005	0.0009795422	0.99881124	0.00026487978	0.0009238619	o/-
46	to	attempt	Adrin skipped the easier parries and attempted to put Jon off balance.	Adrin skipped the easier parries and did not attempt to put Jon off balance.	Adrin skipped the easier parries and put jon off balance.	0.0,0.0,1.0	-2.0,0.0,0.0	0.99649954	0.0028608390000000004	0.00063956087	0.0002753081	0.9993224	0.00040232335	o/-
47	to	manage	They managed to bear the pain and stay conscious the whole time	They did not manage to bear the pain and stay conscious the whole time	They beared the pain and stay conscious the whole.	1.0,2.0,2.0	-2.0,-2.0,-2.0	0.9988042	0.00021117817	0.000984552	0.00011034617	0.99971133	0.00017830159	+/-
48	to	manage	The tobacco industry managed to get a higher stock market evaluation.	The tobacco industry did not manage to get a higher stock market evaluation.	The tobacco industry got a higher stock market evaluation.	1.0,2.0,2.0	-2.0,-2.0,-2.0	0.9988739	0.00025085945	0.0008752509599999999	0.00018031352	0.99951243	0.00030733977	+/-
49	to	manage	He managed to cook a horse-stew that left Ca'daan stuffed like a pig.	He did not manage to cook a horse-stew that left Ca'daan stuffed like a pig.	He cooked a horse-stew that left ca ` daan stuffed like a pig.	2.0,2.0,2.0	-2.0,-1.0,-1.0	0.99886215	0.0004324212	0.0007053906	0.00012629894	0.9996377	0.00023600305	+/-
50	to	manage	They managed to sever his femoral artery and he died shortly after. 	They did not manage to sever his femoral artery and he died shortly after. 	They severed his femoral artery and he died shortly after.	2.0,2.0,2.0	-1.0,-1.0,1.0	0.998771	0.0005240346700000001	0.0007049163000000001	0.0005848341400000001	0.99832386	0.0010913463	+/-
51	to	manage	Ovitz was a small time agent who barely managed to stay in business.	Ovitz was a small time agent who barely did not manage to stay in business.	Ovitz was a small time agent who barely stayed in business.	2.0,2.0,2.0	-2.0,1.0,1.0	0.9989604	0.00036022830000000003	0.0006794098299999999	0.9989335	0.0003936914700000001	0.00067282136	+/-
52	to	manage	Florida knew exactly how the contractor managed to keep a low price.	Florida knew exactly how the contractor did not manage to keep a low price.	Florida knew exactly how the contractor kept a low price.	1.0,1.0,2.0	-2.0,-2.0,-1.0	0.99876845	0.00027915650000000003	0.00095243624	0.9804912	0.016264556	0.003244167	+/-
53	to	manage	Muslims army managed to draw out the Soviet army from Afghanistan.	Muslims army did not manage to draw out the Soviet army from Afghanistan.	Muslims army drew out the soviet army from afghanistan.	2.0,2.0,2.0	-2.0,-2.0,-2.0	0.9978846	0.0013733312	0.0007421079	0.0007433024599999999	0.9981828	0.0010738961	+/-
54	to	manage	Travel brochures have managed to make Mt. Fuji mundane and tacky.	Travel brochures have not managed to make Mt. Fuji mundane and tacky.	Travel brochures have made mt. fuji mundane and tacky.	1.0,2.0,2.0	-2.0,-1.0,-1.0	0.9988508	0.0002601403	0.0008889396	0.00019877592	0.9994312	0.00037002616	+/-
55	to	manage	I managed to sneak one of the books I was studying back with me.	I did not manage to sneak one of the books I was studying back with me.	I snuck one of the books i was studying back with me.	2.0,2.0,2.0	-2.0,-2.0,-2.0	0.9989103	0.00026194638	0.00082774664	0.0002813359	0.9989239	0.00079470646	+/-
56	to	manage	Later, Japan managed to overcome stagnation in just a few years.	Later, Japan did not manage to overcome stagnation in just a few years.	Later, japan overcame stagnation in just a few years.	1.0,2.0,2.0	-2.0,-2.0,-1.0	0.99856645	0.00031677046	0.0011167986	0.00052011793	0.99834573	0.0011341971	+/-
57	to	manage	He has managed to do so, at times through sheer force of will.	He has not managed to do so, at times through sheer force of will.	He has done so, at times through sheer force of will.	2.0,2.0,2.0	-2.0,-1.0,1.0	0.9988167	0.000184169	0.0009990453	0.00015434583	0.99955946	0.00028616810000000004	+/-
58	to	manage	 He managed to dig a small hollow in the sand before dropping off to sleep.	 He did not manage to dig a small hollow in the sand before dropping off to sleep.	He dug a small hollow in the sand before dropping off to sleep.	1.0,2.0,2.0	-2.0,-2.0,-1.0	0.99875593	0.0005530315	0.00069104857	0.0005924872	0.9983468	0.0010608003	+/-
59	to	manage	It's hard to see how he managed to prove his story is true.	It's hard to see how he did not manage to prove his story is true.	It's hard to see how he proved his story is true.	2.0,2.0,2.0	-2.0,-1.0,-1.0	0.9988096	0.00028178224	0.0009086118	0.9983308	0.00054231245	0.0011268565	+/-
60	to	manage	Pilsudski and his troops managed to hold back the Soviets.	Pilsudski and his troops did not manage to hold back the Soviets.	Pilsudski and his troops held back the soviets.	2.0,2.0,2.0	-2.0,-2.0,-2.0	0.99850285	0.0007552044	0.00074197055	0.00041050487	0.9991289	0.0004605528	+/-
61	to	manage	I managed to pick-pocket someone next to the snack-stand.	I did not manage to pick-pocket someone next to the snack-stand.	I pick-pocketted someone next to the snack-stand.	2.0,2.0,2.0	-2.0,-2.0,-2.0	0.998721	0.000353121	0.0009258487	0.0001441216	0.9996049	0.00025110240000000004	+/-
62	to	manage	They managed to reach a shrubbery close by without issue.	They did not manage to reach a shrubbery close by without issue.	They reached a shrubbery close by without issue.	1.0,2.0,2.0	-2.0,-1.0,2.0	0.9986337	0.00031496937	0.0010513074000000002	0.00019591833	0.9994591	0.00034502172	+/-
63	to	manage	Titus managed to convert the entire area in record time.	Titus did not manage to convert the entire area in record time.	Titus converted the entire area in record time.	1.0,2.0,2.0	-2.0,-2.0,-1.0	0.9988054	0.0002481137	0.0009464783	0.00021737891	0.9993279	0.0004547628599999999	+/-
64	to	manage	 She managed to avoid his lips and slid away from him.	 She did not manage to avoid his lips and slid away from him.	She avoided his lips and slid away from him.	1.0,2.0,2.0	-2.0,-2.0,-1.0	0.9987864	0.0004549125	0.0007587121000000001	0.000767377	0.99847	0.0007625894000000001	+/-
65	to	manage	Still, Miyajima manages to be both solemn and lively.	Still, Miyajima does not manage to be both solemn and lively.	Still, miyajima is both solemn and lively.	0.0,2.0,2.0	-2.0,-1.0,-1.0	0.99870884	0.00028634496	0.0010048486	0.0006856019599999999	0.9982911	0.0010233845	+/-
66	to	manage	His face was sick, but he managed to grin at Hanson.	His face was sick, but he did not manage to grin at Hanson.	His face was sick, but he grinned at hanson.	1.0,2.0,2.0	-2.0,-2.0,-1.0	0.99887234	0.00034906574999999995	0.0007786725	0.00022369705	0.99945253	0.00032370983	+/-
67	to	manage	The Moors managed to penetrate far north of Aveiro. 	The Moors did not manage to penetrate far north of Aveiro. 	The moors penetrated far north of aveiro.	1.0,2.0,2.0	-2.0,-2.0,-2.0	0.9986407	0.00035279937000000003	0.0010064776	0.0004449618	0.9987662	0.0007888580400000001	+/-
68	to	manage	Napoleon managed to defeat the Prussians thanks to his genius war ability.	Napoleon did not manage to defeat the Prussians thanks to his genius war ability.	Napoleon defeated the prussians thanks to his genius war ability.	2.0,2.0,2.0	-2.0,-2.0,-1.0	0.9983183	0.00082376867	0.0008579106	0.0002842702	0.9991217	0.0005939518	+/-
69	to	manage	We've managed to get some testosterone from a blond homunculus, he reported.	We've not managed to get some testosterone from a blond homunculus, he reported.	We've gotten some testosterone from a blond homunculus, he reported.	1.0,2.0,2.0	-2.0,-2.0,2.0	0.99886847	0.00038234584	0.0007491775	0.00018787703	0.9994148000000002	0.0003973105	+/-
70	to	attempt	Robespierre attempted to quell the extremists, but was killed anyway.	Robespierre did not attempt to quell the extremists, but was killed anyway.	Robespierre quelled the extremists, but was killed anyway.	0.0,1.0,2.0	-2.0,-2.0,-1.0	0.9976507	0.0014484153	0.0009008556	0.003098378	0.995452	0.0014496022	o/-
71	to	attempt	He attempted to make his words casual.	He did not attempt to make his words casual.	He made his words casual.	0.0,0.0,0.0	-1.0,-1.0,0.0	0.99626786	0.0008177602400000001	0.0029143924	0.0028115518	0.99597186	0.0012165727	o/-
72	to	attempt	Other countries attempted to get a mandate to administer Palestine.	Other countries did not attempt to get a mandate to administer Palestine.	Other countries got a mandate to administer palestine.	0.0,0.0,1.0	-2.0,-2.0,-1.0	0.98998374	0.003996724	0.0060195695	0.00030947864	0.9991794	0.0005111405599999999	o/-
73	to	attempt	We attempted to perform activities from the Better Sex video.	We did not attempt to perform activities from the Better Sex video.	We performed activities from the better sex video.	1.0,1.0,2.0	-2.0,-2.0,-2.0	0.9985098	0.0004917048	0.0009984828999999998	0.00017423763	0.99953055	0.00029522492000000003	o/-
74	to	attempt	Each manager has attempted to make employees feel isolated.	Each manager has not attempted to make employees feel isolated.	Each manager has made employees feel isolated.	1.0,1.0,2.0	-1.0,0.0,0.0	0.99813014	0.0005705554	0.0012993801	0.00026762378	0.9993388	0.00039360268	o/-
75	to	attempt	His love unrequited, he attempted to think of other things.	His love unrequited, he did not attempt to think of other things.	His love unrequited, he thought of other things.	0.0,0.0,1.0	-2.0,-1.0,0.0	0.99864584	0.00040804117	0.00094608875	0.0003930676600000001	0.99897707	0.0006297946700000001	o/-
76	to	attempt	Their LiveTopics technology attempts to help you do this.	Their LiveTopics technology does not attempt to help you do this.	Their livetopics technology helps you do this.	0.0,1.0,2.0	-1.0,-1.0,-1.0	0.9968437	0.0007552494000000001	0.0024010248	0.00023691365	0.99934894	0.0004140638	o/-
77	to	attempt	The lawyer attempted to prove the impossible possible.	The lawyer did not attempt to prove the impossible possible.	The lawyer proved the impossible possible.	0.0,0.0,0.0	-2.0,0.0,0.0	0.8604054	0.01716423	0.122430466	0.00017844421000000002	0.9994511	0.0003703907	o/-
78	to	attempt	That is the reason why we attempted to kill you.	That is the reason why we did not attempt to kill you.	That is the reason why we killed you.	-2.0,-1.0,-1.0	-2.0,-1.0,0.0	0.99723715	0.001150325	0.0016125507000000002	0.000115098424	0.9996829	0.00020197357	o/-
79	to	attempt	A man attempted to kill Hitler with a bomb.	A man did not attempt to kill Hitler with a bomb.	A man killed hitler with a bomb.	-1.0,0.0,0.0	-2.0,-2.0,1.0	0.9934638	0.0021547452	0.004381414	0.0001173571	0.9996587	0.00022387407000000004	o/-
80	to	attempt	He attempted to overcome the sensation.	He did not attempt to overcome the sensation.	He overcame the sensation.	0.0,1.0,1.0	-2.0,0.0,0.0	0.951632	0.009641049	0.038726863	0.00011914037	0.9996828	0.00019810034	o/-
81	to	attempt	I attempted to back off.  	I did not attempt to back off.  	I backed off.	0.0,0.0,1.0	-2.0,-2.0,-1.0	0.9985668	0.00043531728	0.0009978673	0.000552119	0.99915946	0.0002884927	o/-
82	to	manage	The opponent managed to get back on his feet after rolling outside the blow.	The opponent did not manage to get back on his feet after rolling outside the blow.	The opponent got back on his feet after rolling outside the blow.	1.0,2.0,2.0	-2.0,-2.0,-1.0	0.9987203	0.0004622913500000001	0.0008174135000000001	0.00030257337000000003	0.99911016	0.0005873105	+/-
83	to	seek	They seek to overcome the other using pure physical strength.	They do not seek to overcome the other using pure physical strength.	They overcome the other using pure physical strength.	0.0,0.0,0.0	-1.0,0.0,0.0	0.9907244	0.0025314598	0.00674419	0.00024321617	0.99922335	0.0005334296	o/o
84	to	seek	It seeks to undermine the possibility of corrective action.	It does not seek to undermine the possibility of corrective action.	It undermines the possibility of corrective action.	0.0,1.0,2.0	-2.0,-2.0,-1.0	0.9983208	0.00035343046	0.0013258164000000002	0.00023777787	0.99929976	0.00046248402	o/o
85	to	seek	The party sought to establish ties with the United States.	The party did not seek to establish ties with the United States.	The party established ties with the united states.	-2.0,0.0,1.0	-1.0,-1.0,0.0	0.99151564	0.00091100915	0.007573359	0.00064473343	0.9981629	0.0011924317	o/o
86	to	seek	WRAP seeks to reduce SO2 by 20% in the next twenty years.	WRAP does not seek to reduce SO2 by 20% in the next twenty years.	Wrap reduces so2 by 20 % in the next twenty years.	-1.0,0.0,0.0	-1.0,-1.0,0.0	0.9979079	0.0005133488	0.0015788424	0.0015091049	0.9956612	0.0028297282	o/o
87	to	seek	State officials seek to improve the economy of the state.	State officials do not seek to improve the economy of the state.	State officials improve the economy of the state.	-1.0,0.0,2.0	-2.0,-1.0,-1.0	0.99505913	0.0005812680999999999	0.0043597026	0.0005298283	0.99809784	0.0013723135	o/o
88	to	seek	The new voices sought to replace the established order.	The new voices did not seek to replace the established order.	The new voices replaced the established order.	0.0,0.0,1.0	-2.0,-1.0,0.0	0.93316805	0.061725453	0.005106476	0.001909147	0.9960912	0.001999678	o/o
89	to	seek	The commission seeks to fill gaps with minorities.	The commission does not seek to fill gaps with minorities.	The commission fills gaps with minorities.	0.0,0.0,1.0	-1.0,-1.0,-1.0	0.9966491	0.00067778875	0.002673144	0.00066837296	0.99811196	0.0012196945	o/o
90	to	seek	Beijing sought to create a good relationship.	Beijing did not seek to create a good relationship.	Beijing created a good relationship.	0.0,1.0,2.0	-2.0,0.0,0.0	0.9913064	0.0006488915499999999	0.008044631	0.0008656129	0.9976096	0.0015247692	o/o
91	to	manage	Of course the governors and the president managed to turn deficits into surpluses.	Of course the governors and the president did not manage to turn deficits into surpluses.	Of course the governors and the president turned deficits into surpluses.	1.0,2.0,2.0	-2.0,-2.0,-2.0	0.99786013	0.0011798937	0.0009599366	0.0001680952	0.9995216	0.00031025417	+/-
92	to	agree	Ca'daan agreed to take it.	Ca'daan did not agree to take it.	Ca ` daan took it.	1.0,1.0,1.0	-2.0,0.0,0.0	0.9968534	0.0010850301	0.0020615314000000003	0.00086025364	0.9985277	0.00061202765	o/o
93	to	agree	She said she agreed to stop there.	She said she did not agree to stop there.	She said she stopped there.	0.0,0.0,2.0	-2.0,-1.0,0.0	0.9983296	0.00040911697	0.0012613145	0.0012345895	0.9978157	0.0009497343	o/o
94	to	agree	They've only agreed to keep talking.	They've only not agreed to keep talking.	They've only kept talking.	1.0,1.0,1.0	-1.0,-1.0,0.0	0.9983664	0.00042886712	0.0012047616	0.034439124	0.9622649	0.0032960356	o/o
95	to	expect	They expected to wait a while to learn more of the crooks.	They did not expect to wait a while to learn more of the crooks.	They waited a while to learn more of the crooks.	-2.0,0.0,1.0	0.0,0.0,0.0	0.99753547	0.0006172568	0.0018471978	0.007384612	0.99016446	0.0024508962	o/o
96	to	happen	She 'happened to be near the door'. 	She 'happened to be near the door'. 	She ` was near the door'.	2.0,2.0,2.0	1.0,2.0,2.0	0.99676245	0.0003519808	0.0028855682	0.99676245	0.0003519808	0.0028855682	o/o
97	to	claim	Weld also has claimed to be a victim of Helms' ideological extortion.	Weld also has not claimed to be a victim of Helms' ideological extortion.	Weld also has been a victim of helms' ideological extortion.	0.0,0.0,1.0	-1.0,-1.0,0.0	0.9975087	0.00040063207	0.002090673	0.00015039035	0.9994147	0.0004349882	o/o
98	to	claim	The Museum des Beaux-Arts claims to be the oldest museum in France.	The Museum des Beaux-Arts does not claim to be the oldest museum in France.	The museum des beaux-arts is the oldest museum in france.	1.0,1.0,1.0	-1.0,-1.0,-1.0	0.99661356	0.0003211257	0.0030653116	0.00022860241	0.9991992	0.0005722407	o/o
