	filename	determiner	monotonicity	gold_label	replace_target	replace_source	replace_mode	ori_sentence	new_sentence
25	gold/p08/d2004	and	conjunction	neutral				Tom smiled	Tom smiled and nodded .
26	gold/p08/d2936	and	conjunction	entailment				Tom picked up a rock and threw it .	Tom picked up a rock
27	gold/p08/d2936	and	conjunction	neutral				Tom picked up a rock	Tom picked up a rock and threw it .
28	gold/p09/d1518	and	conjunction	entailment				His son is lazy and good~for~nothing .	His son is lazy
29	gold/p09/d1518	and	conjunction	neutral				His son is lazy	His son is lazy and good~for~nothing .
30	gold/p11/d3334	and	conjunction	entailment				I have an orange and an apple .	I have an orange
31	gold/p11/d3334	and	conjunction	neutral				I have an orange	I have an orange and an apple .
32	gold/p12/d1817	and	conjunction	entailment				Mary laughed and threw a pillow at me .	Mary laughed
33	gold/p12/d1817	and	conjunction	neutral				Mary laughed	Mary laughed and threw a pillow at me .
34	gold/p12/d1907	and	conjunction	entailment				Mary grabbed her purse and left .	Mary grabbed her purse
35	gold/p12/d1907	and	conjunction	neutral				Mary grabbed her purse	Mary grabbed her purse and left .
36	gold/p12/d2176	and	conjunction	entailment				Tom grabbed his umbrella and headed for the elevator .	Tom grabbed his umbrella
37	gold/p12/d2176	and	conjunction	neutral				Tom grabbed his umbrella	Tom grabbed his umbrella and headed for the elevator .
38	gold/p12/d2279	and	conjunction	entailment				Tom dropped his cup and broke it .	Tom dropped his cup
39	gold/p12/d2279	and	conjunction	neutral				Tom dropped his cup	Tom dropped his cup and broke it .
40	gold/p12/d2307	and	conjunction	entailment				She turned around and scowled at me .	She turned around
41	gold/p12/d2307	and	conjunction	neutral				She turned around	She turned around and scowled at me .
42	gold/p13/d2185	and	conjunction	entailment				I 'm buying meat and vegetables .	I 'm buying meat
43	gold/p13/d2185	and	conjunction	neutral				I 'm buying meat	I 'm buying meat and vegetables .
44	gold/p15/d2333	and	conjunction	entailment				You should go to the dentist and have that tooth pulled out .	You should go to the dentist
45	gold/p15/d2333	and	conjunction	neutral				You should go to the dentist	You should go to the dentist and have that tooth pulled out .
46	gold/p15/d2653	and	conjunction	entailment				I called 911 and the paramedics came .	I called 911
47	gold/p15/d2653	and	conjunction	neutral				I called 911	I called 911 and the paramedics came .
48	gold/p18/d3357	and	conjunction	entailment				She grabbed her purse and left .	She grabbed her purse
49	gold/p18/d3357	and	conjunction	neutral				She grabbed her purse	She grabbed her purse and left .
50	gold/p18/d3518	and	conjunction	entailment				Tom removed his glasses and rubbed his eyes .	Tom removed his glasses
51	gold/p18/d3518	and	conjunction	neutral				Tom removed his glasses	Tom removed his glasses and rubbed his eyes .
52	gold/p20/d3215	and	conjunction	entailment				Tom 's cellphone rang and he answered it .	Tom 's cellphone rang
53	gold/p20/d3215	and	conjunction	neutral				Tom 's cellphone rang	Tom 's cellphone rang and he answered it .
54	gold/p24/d1680	and	conjunction	entailment				Tom grabbed his coat and headed for the door .	Tom grabbed his coat
55	gold/p24/d1680	and	conjunction	neutral				Tom grabbed his coat	Tom grabbed his coat and headed for the door .
56	gold/p25/d3353	and	conjunction	entailment				Tom grabbed a chair and sat down .	Tom grabbed a chair
57	gold/p25/d3353	and	conjunction	neutral				Tom grabbed a chair	Tom grabbed a chair and sat down .
58	gold/p29/d1429	and	conjunction	entailment				Tom whispered something into Mary 's ear and she smiled .	Tom whispered something into Mary 's ear
59	gold/p29/d1429	and	conjunction	neutral				Tom whispered something into Mary 's ear	Tom whispered something into Mary 's ear and she smiled .
60	gold/p32/d1599	and	conjunction	entailment				She was awkward and reserved at parties .	She was awkward
61	gold/p32/d1599	and	conjunction	neutral				She was awkward	She was awkward and reserved at parties .
62	gold/p32/d2733	and	conjunction	entailment				That hut is crawling with lizards and insects .	That hut is crawling with lizards
63	gold/p32/d2733	and	conjunction	neutral				That hut is crawling with lizards	That hut is crawling with lizards and insects .
64	gold/p39/d1721	and	conjunction	entailment				Tom rolled over and snoozed for another 15 minutes .	Tom rolled over
65	gold/p39/d1721	and	conjunction	neutral				Tom rolled over	Tom rolled over and snoozed for another 15 minutes .
66	gold/p39/d1990	and	conjunction	entailment				Tom bumped into Mary and spilled his drink on her .	Tom bumped into Mary
67	gold/p39/d1990	and	conjunction	neutral				Tom bumped into Mary	Tom bumped into Mary and spilled his drink on her .
68	gold/p41/d2144	and	conjunction	entailment				The dog is green and beautiful .	The dog is green
69	gold/p41/d2144	and	conjunction	neutral				The dog is green	The dog is green and beautiful .
70	gold/p42/d2121	and	conjunction	entailment				There are nine girls and three boys in the library .	There are nine girls
71	gold/p42/d2121	and	conjunction	neutral				There are nine girls	There are nine girls and three boys in the library .
72	gold/p43/d2334	and	conjunction	entailment				There are many countries and many cultures on Earth .	There are many countries
73	gold/p43/d2334	and	conjunction	neutral				There are many countries	There are many countries and many cultures on Earth .
74	gold/p44/d1911	and	conjunction	entailment				She 's jealous and irrational .	She 's jealous
75	gold/p44/d1911	and	conjunction	neutral				She 's jealous	She 's jealous and irrational .
76	gold/p45/d0938	and	conjunction	entailment				He 's tall and slim .	He 's tall
77	gold/p45/d0938	and	conjunction	neutral				He 's tall	He 's tall and slim .
78	gold/p45/d1438	and	conjunction	entailment				Tom brushed his teeth and washed his face .	Tom brushed his teeth
79	gold/p45/d1438	and	conjunction	neutral				Tom brushed his teeth	Tom brushed his teeth and washed his face .
80	gold/p45/d3132	and	conjunction	entailment				Tom grabbed his backpack and left .	Tom grabbed his backpack
81	gold/p45/d3132	and	conjunction	neutral				Tom grabbed his backpack	Tom grabbed his backpack and left .
82	gold/p45/d3291	and	conjunction	entailment				Tom knocked and Mary answered .	Tom knocked
83	gold/p45/d3291	and	conjunction	neutral				Tom knocked	Tom knocked and Mary answered .
84	gold/p48/d2910	and	conjunction	entailment				She grabbed her towel and headed for the beach .	She grabbed her towel
85	gold/p48/d2910	and	conjunction	neutral				She grabbed her towel	She grabbed her towel and headed for the beach .
86	gold/p48/d3025	and	conjunction	entailment				Tom chased the mugger and caught him .	Tom chased the mugger
87	gold/p48/d3025	and	conjunction	neutral				Tom chased the mugger	Tom chased the mugger and caught him .
88	gold/p48/d3032	and	conjunction	entailment				Tom threw something at me and I ducked .	Tom threw something at me
89	gold/p48/d3032	and	conjunction	neutral				Tom threw something at me	Tom threw something at me and I ducked .
90	gold/p56/d2506	and	conjunction	entailment				Tom arrived at the gate and rang the bell .	Tom arrived at the gate
91	gold/p56/d2506	and	conjunction	neutral				Tom arrived at the gate	Tom arrived at the gate and rang the bell .
92	gold/p59/d3163	and	conjunction	entailment				He 's young and single .	He 's young
93	gold/p59/d3163	and	conjunction	neutral				He 's young	He 's young and single .
94	gold/p61/d1432	and	conjunction	entailment				The couple was quarrelling and Chris knocked Beth down .	The couple was quarrelling
95	gold/p61/d1432	and	conjunction	neutral				The couple was quarrelling	The couple was quarrelling and Chris knocked Beth down .
96	gold/p63/d2886	and	conjunction	entailment				A stocky man with a swarthy complexion snatched Mary 's handbag and disappeared into the crowd .	A stocky man with a swarthy complexion snatched Mary 's handbag
97	gold/p63/d2886	and	conjunction	neutral				A stocky man with a swarthy complexion snatched Mary 's handbag	A stocky man with a swarthy complexion snatched Mary 's handbag and disappeared into the crowd .
98	gold/p66/d2119	and	conjunction	entailment				I trusted him and I believed him .	I trusted him
99	gold/p66/d2119	and	conjunction	neutral				I trusted him	I trusted him and I believed him .
100	gold/p67/d2669	and	conjunction	entailment				She grabbed him by the hand and pulled him onto the boat .	She grabbed him by the hand
101	gold/p67/d2669	and	conjunction	neutral				She grabbed him by the hand	She grabbed him by the hand and pulled him onto the boat .
102	gold/p71/d2625	and	conjunction	entailment				Tom walked to the front~door and knocked .	Tom walked to the front~door
103	gold/p71/d2625	and	conjunction	neutral				Tom walked to the front~door	Tom walked to the front~door and knocked .
104	gold/p72/d0940	and	conjunction	entailment				He was tortured and murdered .	He was tortured
105	gold/p72/d0940	and	conjunction	neutral				He was tortured	He was tortured and murdered .
106	gold/p73/d2090	and	conjunction	entailment				Tom played the guitar and Mary sang .	Tom played the guitar
107	gold/p73/d2090	and	conjunction	neutral				Tom played the guitar	Tom played the guitar and Mary sang .
108	gold/p79/d2228	and	conjunction	entailment				Tom grabbed his guitar and headed for the door .	Tom grabbed his guitar
109	gold/p79/d2228	and	conjunction	neutral				Tom grabbed his guitar	Tom grabbed his guitar and headed for the door .
110	gold/p82/d0836	and	conjunction	entailment				He put milk into his tea and stirred it .	He put milk into his tea
111	gold/p82/d0836	and	conjunction	neutral				He put milk into his tea	He put milk into his tea and stirred it .
112	gold/p82/d3040	and	conjunction	entailment				Tom unscrewed the cap and handed the jar to Mary .	Tom unscrewed the cap
113	gold/p82/d3040	and	conjunction	neutral				Tom unscrewed the cap	Tom unscrewed the cap and handed the jar to Mary .
114	gold/p83/d2210	and	conjunction	entailment				A Californian policeman pulled a car over and spoke to the driver .	A Californian policeman pulled a car over
115	gold/p83/d2210	and	conjunction	neutral				A Californian policeman pulled a car over	A Californian policeman pulled a car over and spoke to the driver .
116	gold/p83/d2645	and	conjunction	entailment				Tom crawled into bed and pulled the covers over himself .	Tom crawled into bed
117	gold/p83/d2645	and	conjunction	neutral				Tom crawled into bed	Tom crawled into bed and pulled the covers over himself .
118	gold/p85/d2721	and	conjunction	entailment				The man glanced at the news~program and was shocked .	The man glanced at the news~program
119	gold/p85/d2721	and	conjunction	neutral				The man glanced at the news~program	The man glanced at the news~program and was shocked .
120	gold/p86/d2196	and	conjunction	entailment				Tom unbuckled his seat~belt and got out of the car .	Tom unbuckled his seat~belt
121	gold/p86/d2196	and	conjunction	neutral				Tom unbuckled his seat~belt	Tom unbuckled his seat~belt and got out of the car .
122	gold/p88/d2270	and	conjunction	entailment				I 'm hungry and thirsty .	I 'm hungry
123	gold/p88/d2270	and	conjunction	neutral				I 'm hungry	I 'm hungry and thirsty .
124	gold/p88/d3058	and	conjunction	entailment				He pulled up the weed and threw it away .	He pulled up the weed
125	gold/p88/d3058	and	conjunction	neutral				He pulled up the weed	He pulled up the weed and threw it away .
126	gold/p89/d0905	and	conjunction	entailment				I sat down and opened my laptop .	I sat down
127	gold/p89/d0905	and	conjunction	neutral				I sat down	I sat down and opened my laptop .
128	gold/p91/d2213	and	conjunction	entailment				Tom made a peanut~butter and jelly sandwich .	Tom made a peanut~butter
129	gold/p91/d2213	and	conjunction	neutral				Tom made a peanut~butter	Tom made a peanut~butter and jelly sandwich .
130	gold/p94/d1474	and	conjunction	entailment				If a dog bites you , wash the wound with soap and water .	If a dog bites you , wash the wound with soap
131	gold/p94/d1474	and	conjunction	neutral				If a dog bites you , wash the wound with soap	If a dog bites you , wash the wound with soap and water .
132	gold/p95/d2064	and	conjunction	entailment				That girl smiled and waved to me .	That girl smiled
133	gold/p95/d2064	and	conjunction	neutral				That girl smiled	That girl smiled and waved to me .
134	gold/p98/d2055	and	conjunction	entailment				The patient is up and about .	The patient is up
135	gold/p98/d2055	and	conjunction	neutral				The patient is up	The patient is up and about .
136	gold/p98/d2835	and	conjunction	entailment				Muskrats are responsible for the destruction of dams and dikes .	Muskrats are responsible for the destruction of dams
137	gold/p98/d2835	and	conjunction	neutral				Muskrats are responsible for the destruction of dams	Muskrats are responsible for the destruction of dams and dikes .
138	gold/p99/d2369	and	conjunction	entailment				Tom whispered something in Mary 's ear and she nodded .	Tom whispered something in Mary 's ear
139	gold/p99/d2369	and	conjunction	neutral				Tom whispered something in Mary 's ear	Tom whispered something in Mary 's ear and she nodded .
140	silver/p00/d0704	and	conjunction	entailment				Celestial~Seasonings was purchased by Kraft~Foods in 1984 which expanded the marketing of the brand both nationally and internationally .	Celestial~Seasonings was purchased by Kraft~Foods in 1984 which expanded the marketing of the brand both nationally
141	silver/p00/d0704	and	conjunction	neutral				Celestial~Seasonings was purchased by Kraft~Foods in 1984 which expanded the marketing of the brand both nationally	Celestial~Seasonings was purchased by Kraft~Foods in 1984 which expanded the marketing of the brand both nationally and internationally .
142	silver/p00/d0754	and	conjunction	neutral				Carelessness by contractors is a common cause of fire , including many fires that result in serious financial loss . It has been estimated that perhaps 20 - 25 % of all non-domestic fires result from ' on-going work ' , such as refurbishment , repair and construction .	Carelessness by contractors is a common cause of fire , including many fires that result in serious financial loss . It has been estimated that perhaps 20 - 25 % of all non-domestic fires result from ' on-going work ' , such as refurbishment , repair
143	silver/p00/d0754	and	conjunction	entailment				Carelessness by contractors is a common cause of fire , including many fires that result in serious financial loss . It has been estimated that perhaps 20 - 25 % of all non-domestic fires result from ' on-going work ' , such as refurbishment , repair	Carelessness by contractors is a common cause of fire , including many fires that result in serious financial loss . It has been estimated that perhaps 20 - 25 % of all non-domestic fires result from ' on-going work ' , such as refurbishment , repair and construction .
144	silver/p00/d0757	and	conjunction	entailment				It is outstripped only by Denmark , the Netherlands , Belgium , Sweden , Finland and France , and thus ranks 7th in the 25-member European~Union in terms of broadband Internet penetration .	It is outstripped only by Denmark , the Netherlands , Belgium , Sweden , Finland
145	silver/p00/d0757	and	conjunction	neutral				It is outstripped only by Denmark , the Netherlands , Belgium , Sweden , Finland	It is outstripped only by Denmark , the Netherlands , Belgium , Sweden , Finland and France , and thus ranks 7th in the 25-member European~Union in terms of broadband Internet penetration .
146	silver/p00/d0758	and	conjunction	entailment				Following a steady flow of leaks and statements on apparently incriminating discoveries , her office has been gagged by senior legal authorities .	Following a steady flow of leaks
147	silver/p00/d0758	and	conjunction	neutral				Following a steady flow of leaks	Following a steady flow of leaks and statements on apparently incriminating discoveries , her office has been gagged by senior legal authorities .
148	silver/p00/d0781	and	conjunction	entailment				We stood at the door and waited .	We stood at the door
149	silver/p00/d0781	and	conjunction	neutral				We stood at the door	We stood at the door and waited .
150	silver/p00/d0880	and	conjunction	entailment				The most effective means for the propagation of Esperanto is the fluent and elegant use of this language .	The most effective means for the propagation of Esperanto is the fluent
151	silver/p00/d0880	and	conjunction	neutral				The most effective means for the propagation of Esperanto is the fluent	The most effective means for the propagation of Esperanto is the fluent and elegant use of this language .
152	silver/p00/d0898	and	conjunction	entailment				Do me a favour and shut up .	Do me a favour
153	silver/p00/d0898	and	conjunction	neutral				Do me a favour	Do me a favour and shut up .
154	silver/p00/d1437	and	conjunction	entailment				The castle has been restored and is open to the public .	The castle has been restored
155	silver/p00/d1437	and	conjunction	neutral				The castle has been restored	The castle has been restored and is open to the public .
156	silver/p00/d1450	and	conjunction	neutral				Tom has an older sister , Mary , and two younger sisters , but I do n't remember their names .	Tom has an older sister , Mary ,
157	silver/p00/d1450	and	conjunction	entailment				Tom has an older sister , Mary ,	Tom has an older sister , Mary , and two younger sisters , but I do n't remember their names .
158	silver/p00/d1465	and	conjunction	entailment				After a short visit he suddenly got up and took his leave .	After a short visit he suddenly got up
159	silver/p00/d1465	and	conjunction	neutral				After a short visit he suddenly got up	After a short visit he suddenly got up and took his leave .
160	silver/p00/d1642	and	conjunction	neutral				There is no God and no Buddha .	There is no God
161	silver/p00/d1642	and	conjunction	entailment				There is no God	There is no God and no Buddha .
162	silver/p00/d1681	and	conjunction	entailment				Let 's build the country with actions and words .	Let 's build the country with actions
163	silver/p00/d1681	and	conjunction	neutral				Let 's build the country with actions	Let 's build the country with actions and words .
164	silver/p00/d1706	and	conjunction	entailment				The word became flesh and lived for a while among us .	The word became flesh
165	silver/p00/d1706	and	conjunction	neutral				The word became flesh	The word became flesh and lived for a while among us .
166	silver/p00/d1720	and	conjunction	entailment				The crescent moon and star is a symbol of Islam .	The crescent moon
167	silver/p00/d1720	and	conjunction	neutral				The crescent moon	The crescent moon and star is a symbol of Islam .
168	silver/p00/d1750	and	conjunction	entailment				It 's like some people like ketchup and other people like mustard .	It 's like some people like ketchup
169	silver/p00/d1750	and	conjunction	neutral				It 's like some people like ketchup	It 's like some people like ketchup and other people like mustard .
170	silver/p00/d1772	and	conjunction	entailment				He was lucky and won the competition .	He was lucky
171	silver/p00/d1772	and	conjunction	neutral				He was lucky	He was lucky and won the competition .
172	silver/p00/d1859	and	conjunction	entailment				I recall less and less of my childhood .	I recall less
173	silver/p00/d1859	and	conjunction	neutral				I recall less	I recall less and less of my childhood .
174	silver/p00/d1886	and	conjunction	entailment				He is a lawyer and must be treated as such .	He is a lawyer
175	silver/p00/d1886	and	conjunction	neutral				He is a lawyer	He is a lawyer and must be treated as such .
176	silver/p00/d1940	and	conjunction	entailment				Pocket calculators are as cheap to buy as a pair of socks , and as essential to thousands of British school children as a pencil and eraser .	Pocket calculators are as cheap to buy as a pair of socks ,
177	silver/p00/d1940	and	conjunction	neutral				Pocket calculators are as cheap to buy as a pair of socks ,	Pocket calculators are as cheap to buy as a pair of socks , and as essential to thousands of British school children as a pencil and eraser .
178	silver/p00/d1954	and	conjunction	entailment				Those selected will have to face extensive medical and psychological tests .	Those selected will have to face extensive medical
179	silver/p00/d1954	and	conjunction	neutral				Those selected will have to face extensive medical	Those selected will have to face extensive medical and psychological tests .
180	silver/p00/d2117	and	conjunction	entailment				You ca n't let that come between you and Tom .	You ca n't let that come between you
181	silver/p00/d2117	and	conjunction	neutral				You ca n't let that come between you	You ca n't let that come between you and Tom .
182	silver/p00/d2134	and	conjunction	neutral				Days go by and still no sign of Tom .	Days go by
183	silver/p00/d2134	and	conjunction	entailment				Days go by	Days go by and still no sign of Tom .
184	silver/p00/d2147	and	conjunction	entailment				Tom , Mary and John spent Saturday practicing for the talent show .	Tom , Mary
185	silver/p00/d2147	and	conjunction	neutral				Tom , Mary	Tom , Mary and John spent Saturday practicing for the talent show .
186	silver/p00/d2205	and	conjunction	entailment				She has a cold and is absent from school .	She has a cold
187	silver/p00/d2205	and	conjunction	neutral				She has a cold	She has a cold and is absent from school .
188	silver/p00/d2229	and	conjunction	entailment				Tom drives a truck and his wife drives a station~wagon .	Tom drives a truck
189	silver/p00/d2229	and	conjunction	neutral				Tom drives a truck	Tom drives a truck and his wife drives a station~wagon .
190	silver/p00/d2294	and	conjunction	entailment				Seize the moments of happiness , love and be loved ! That is the only reality in the world , all else is folly . It is the one thing we are interested in here .	Seize the moments of happiness , love
191	silver/p00/d2294	and	conjunction	neutral				Seize the moments of happiness , love	Seize the moments of happiness , love and be loved ! That is the only reality in the world , all else is folly . It is the one thing we are interested in here .
192	silver/p00/d2327	and	conjunction	entailment				You said she was kind and so she is .	You said she was kind
193	silver/p00/d2327	and	conjunction	neutral				You said she was kind	You said she was kind and so she is .
194	silver/p00/d2403	and	conjunction	entailment				The chair was too high , and I found myself with my legs hanging in the air .	The chair was too high ,
195	silver/p00/d2403	and	conjunction	neutral				The chair was too high ,	The chair was too high , and I found myself with my legs hanging in the air .
196	silver/p00/d2424	and	conjunction	neutral				Daddy , let 's make faces at each~other and see who can keep from laughing the longest .	Daddy , let 's make faces at each~other
197	silver/p00/d2424	and	conjunction	entailment				Daddy , let 's make faces at each~other	Daddy , let 's make faces at each~other and see who can keep from laughing the longest .
198	silver/p00/d2458	and	conjunction	entailment				Tom likes to stay home and read books on weekends .	Tom likes to stay home
199	silver/p00/d2458	and	conjunction	neutral				Tom likes to stay home	Tom likes to stay home and read books on weekends .
200	silver/p00/d2482	and	conjunction	entailment				Forget the anxieties of life and learn to relax .	Forget the anxieties of life
201	silver/p00/d2482	and	conjunction	neutral				Forget the anxieties of life	Forget the anxieties of life and learn to relax .
202	silver/p00/d2487	and	conjunction	entailment				You had better go and thank her in person .	You had better go
203	silver/p00/d2487	and	conjunction	neutral				You had better go	You had better go and thank her in person .
204	silver/p00/d2648	and	conjunction	entailment				She 's a good actress and she 's really pretty .	She 's a good actress
205	silver/p00/d2648	and	conjunction	neutral				She 's a good actress	She 's a good actress and she 's really pretty .
206	silver/p00/d2796	and	conjunction	entailment				The tribe worships its ancestors and speaks its own language , and speaks an unfamiliar language .	The tribe worships its ancestors
207	silver/p00/d2796	and	conjunction	neutral				The tribe worships its ancestors	The tribe worships its ancestors and speaks its own language , and speaks an unfamiliar language .
208	silver/p00/d2797	and	conjunction	entailment				It was raining on and off all night long .	It was raining on
209	silver/p00/d2797	and	conjunction	neutral				It was raining on	It was raining on and off all night long .
210	silver/p00/d2874	and	conjunction	entailment				Climate~change is real and it 's caused by humans .	Climate~change is real
211	silver/p00/d2874	and	conjunction	neutral				Climate~change is real	Climate~change is real and it 's caused by humans .
212	silver/p00/d2882	and	conjunction	entailment				Tom changed a few words on the report and resubmitted it .	Tom changed a few words on the report
213	silver/p00/d2882	and	conjunction	neutral				Tom changed a few words on the report	Tom changed a few words on the report and resubmitted it .
214	silver/p00/d2962	and	conjunction	entailment				The children started bouncing up and down on the couch .	The children started bouncing up
215	silver/p00/d2962	and	conjunction	neutral				The children started bouncing up	The children started bouncing up and down on the couch .
216	silver/p00/d3035	and	conjunction	entailment				Tom rushed into his office and slammed the door .	Tom rushed into his office
217	silver/p00/d3035	and	conjunction	neutral				Tom rushed into his office	Tom rushed into his office and slammed the door .
218	silver/p00/d3059	and	conjunction	entailment				Tom got into the driver 's seat and drove off .	Tom got into the driver 's seat
219	silver/p00/d3059	and	conjunction	neutral				Tom got into the driver 's seat	Tom got into the driver 's seat and drove off .
220	silver/p00/d3062	and	conjunction	entailment				We have small and large portions .	We have small
221	silver/p00/d3062	and	conjunction	neutral				We have small	We have small and large portions .
222	silver/p00/d3117	and	conjunction	entailment				I have revenge for breakfast , lunch , and dinner .	I have revenge for breakfast , lunch ,
223	silver/p00/d3117	and	conjunction	neutral				I have revenge for breakfast , lunch ,	I have revenge for breakfast , lunch , and dinner .
224	silver/p00/d3175	and	conjunction	entailment				She 's elegant and refined .	She 's elegant
225	silver/p00/d3175	and	conjunction	neutral				She 's elegant	She 's elegant and refined .
226	silver/p00/d3300	and	conjunction	entailment				We 've got to go and help Tom .	We 've got to go
227	silver/p00/d3300	and	conjunction	neutral				We 've got to go	We 've got to go and help Tom .
228	silver/p00/d3327	and	conjunction	entailment				The natives collect and store rain-water to drink .	The natives collect
229	silver/p00/d3327	and	conjunction	neutral				The natives collect	The natives collect and store rain-water to drink .
230	silver/p00/d3329	and	conjunction	entailment				He stood up and took a deep breath .	He stood up
231	silver/p00/d3329	and	conjunction	neutral				He stood up	He stood up and took a deep breath .
232	silver/p00/d3351	and	conjunction	entailment				Tom 's eyes are red , and he looks very tired .	Tom 's eyes are red ,
233	silver/p00/d3351	and	conjunction	neutral				Tom 's eyes are red ,	Tom 's eyes are red , and he looks very tired .
234	silver/p00/d3487	and	conjunction	neutral				There was no one in the room besides Tom and Mary .	There was no one in the room besides Tom
235	silver/p00/d3487	and	conjunction	entailment				There was no one in the room besides Tom	There was no one in the room besides Tom and Mary .
236	silver/p00/d3504	and	conjunction	entailment				She has a fair skin and hair .	She has a fair skin
237	silver/p00/d3504	and	conjunction	neutral				She has a fair skin	She has a fair skin and hair .
238	silver/p00/d3554	and	conjunction	entailment				Tom babysat John and Mary 's children yesterday evening .	Tom babysat John ø
239	silver/p00/d3554	and	conjunction	neutral				Tom babysat John ø	Tom babysat John and Mary 's children yesterday evening .
240	silver/p01/d0708	and	conjunction	entailment				The second biggest pleasure park behind Euro Disney is a great adventure for young and old children . Many rides , shows and other attractions are waiting there for you .	The second biggest pleasure park behind Euro Disney is a great adventure for young
241	silver/p01/d0708	and	conjunction	neutral				The second biggest pleasure park behind Euro Disney is a great adventure for young	The second biggest pleasure park behind Euro Disney is a great adventure for young and old children . Many rides , shows and other attractions are waiting there for you .
242	silver/p01/d0709	and	conjunction	entailment				Last year Jandl was named one of the 10 most important German-language poets of the 20th century by a jury of more than 50 writers , scholars and critics established by the German-language journal Das Gedicht ( The Poem ) .	Last year Jandl was named one of the 10 most important German-language poets of the 20th century by a jury of more than 50 writers , scholars
243	silver/p01/d0709	and	conjunction	neutral				Last year Jandl was named one of the 10 most important German-language poets of the 20th century by a jury of more than 50 writers , scholars	Last year Jandl was named one of the 10 most important German-language poets of the 20th century by a jury of more than 50 writers , scholars and critics established by the German-language journal Das Gedicht ( The Poem ) .
244	silver/p01/d0718	and	conjunction	entailment				The dispute between Albania and the UK about the Corfu incident lasted a long time .	The dispute between Albania
245	silver/p01/d0718	and	conjunction	neutral				The dispute between Albania	The dispute between Albania and the UK about the Corfu incident lasted a long time .
246	silver/p01/d0758	and	conjunction	entailment				The prize is named after Alfred~Nobel , a pacifist and entrepreneur who invented dynamite in 1866 . Nobel left much of his wealth to establish the award , which has honoured achievements in physics , chemistry , medicine , literature and efforts to promote peace since 1901 .	The prize is named after Alfred~Nobel , a pacifist
247	silver/p01/d0758	and	conjunction	neutral				The prize is named after Alfred~Nobel , a pacifist	The prize is named after Alfred~Nobel , a pacifist and entrepreneur who invented dynamite in 1866 . Nobel left much of his wealth to establish the award , which has honoured achievements in physics , chemistry , medicine , literature and efforts to promote peace since 1901 .
248	silver/p01/d0830	and	conjunction	entailment				Everyone has their own strong and weak points .	Everyone has their own strong
249	silver/p01/d0830	and	conjunction	neutral				Everyone has their own strong	Everyone has their own strong and weak points .
250	silver/p01/d0846	and	conjunction	entailment				I asked her to marry me and she accepted .	I asked her to marry me
251	silver/p01/d0846	and	conjunction	neutral				I asked her to marry me	I asked her to marry me and she accepted .
252	silver/p01/d0862	and	conjunction	entailment				There are four fountains with statues of Neptune , his wife Amphitrite , Diana and Adonis in the Market Square .	There are four fountains with statues of Neptune , his wife Amphitrite , Diana
