	filename	determiner	monotonicity	gold_label	replace_target	replace_source	replace_mode	ori_sentence	new_sentence
33	silver/p04/d0754	or	disjunction	neutral				Chirac needed a new mandate for his government from the electorate ,	Chirac needed a new mandate for his government from the electorate , or a new left government was needed that could count on the support of the trade union bureaucracy and among the working class and so would encounter less resistance .
34	silver/p04/d0880	or	disjunction	neutral				"Only ask questions to which the reply can be either "" yes "" or no "" ."	"Only ask questions to which the reply can be either "" yes """
35	silver/p04/d0880	or	disjunction	entailment				"Only ask questions to which the reply can be either "" yes """	"Only ask questions to which the reply can be either "" yes "" or no "" ."
36	silver/p05/d3357	or	disjunction	neutral				It is expected that the tsunami surge will be ten meters or less .	It is expected that the tsunami surge will be ten meters
37	silver/p05/d3357	or	disjunction	entailment				It is expected that the tsunami surge will be ten meters	It is expected that the tsunami surge will be ten meters or less .
38	silver/p06/d2108	or	disjunction	entailment				Onions can be eaten raw or cooked .	Onions can be eaten raw
39	silver/p06/d2108	or	disjunction	neutral				Onions can be eaten raw	Onions can be eaten raw or cooked .
40	silver/p06/d2529	or	disjunction	entailment				One does not need to be an ornithologist to be able to distinguish blackbirds from crows or even jackdaws .	One does not need to be an ornithologist to be able to distinguish blackbirds from crows
41	silver/p06/d2529	or	disjunction	neutral				One does not need to be an ornithologist to be able to distinguish blackbirds from crows	One does not need to be an ornithologist to be able to distinguish blackbirds from crows or even jackdaws .
42	silver/p07/d1511	or	disjunction	neutral				Usually before a concert there is an announcement asking the audience to either turn off their phones or switch them to manner mode .	Usually before a concert there is an announcement asking the audience to either turn off their phones
43	silver/p07/d1511	or	disjunction	entailment				Usually before a concert there is an announcement asking the audience to either turn off their phones	Usually before a concert there is an announcement asking the audience to either turn off their phones or switch them to manner mode .
44	silver/p07/d2448	or	disjunction	neutral				"Newton 's First Law says : "" Every object persists in its state of rest or uniform motion in a straight line unless it is compelled to change that state by forces impressed on it "" ."	"Newton 's First Law says : "" Every object persists in its state of rest"
45	silver/p07/d2448	or	disjunction	entailment				"Newton 's First Law says : "" Every object persists in its state of rest"	"Newton 's First Law says : "" Every object persists in its state of rest or uniform motion in a straight line unless it is compelled to change that state by forces impressed on it "" ."
46	silver/p07/d3210	or	disjunction	neutral				It 's more ridiculous to speak constructed languages than to be gay , bisexual or transsexual .	It 's more ridiculous to speak constructed languages than to be gay , bisexual
47	silver/p07/d3210	or	disjunction	entailment				It 's more ridiculous to speak constructed languages than to be gay , bisexual	It 's more ridiculous to speak constructed languages than to be gay , bisexual or transsexual .
48	silver/p08/d0708	or	disjunction	neutral				The Normandy landings took place on 6th June 1944 , but the Germans even then thought that the ‘real ' Allied invasion of Europe would take place in the Pas de Calais or the Low Countries .	The Normandy landings took place on 6th June 1944 , but the Germans even then thought that the ‘real ' Allied invasion of Europe would take place in the Pas de Calais
49	silver/p08/d0708	or	disjunction	entailment				The Normandy landings took place on 6th June 1944 , but the Germans even then thought that the ‘real ' Allied invasion of Europe would take place in the Pas de Calais	The Normandy landings took place on 6th June 1944 , but the Germans even then thought that the ‘real ' Allied invasion of Europe would take place in the Pas de Calais or the Low Countries .
50	silver/p08/d2012	or	disjunction	neutral				When a woman is murdered , the husband or boyfriend is always the number one suspect .	When a woman is murdered , the husband
51	silver/p08/d2012	or	disjunction	entailment				When a woman is murdered , the husband	When a woman is murdered , the husband or boyfriend is always the number one suspect .
52	silver/p08/d2116	or	disjunction	neutral				No one can get in or out .	No one can get in
53	silver/p08/d2116	or	disjunction	entailment				No one can get in	No one can get in or out .
54	silver/p08/d2593	or	disjunction	neutral				Get back before midnight , or you will be locked out .	Get back before midnight ,
55	silver/p08/d2593	or	disjunction	entailment				Get back before midnight ,	Get back before midnight , or you will be locked out .
56	silver/p08/d2656	or	disjunction	neutral				Tom likes oranges and eats three or four a week .	Tom likes oranges and eats three
57	silver/p08/d2656	or	disjunction	entailment				Tom likes oranges and eats three	Tom likes oranges and eats three or four a week .
58	silver/p08/d3179	or	disjunction	neutral				Compared with America or China , Japan is a small country .	Compared with America
59	silver/p08/d3179	or	disjunction	entailment				Compared with America	Compared with America or China , Japan is a small country .
60	silver/p09/d0768	or	disjunction	neutral				It 's quite difficult to master French in 2 or 3 years .	It 's quite difficult to master French in 2
61	silver/p09/d0768	or	disjunction	entailment				It 's quite difficult to master French in 2	It 's quite difficult to master French in 2 or 3 years .
62	silver/p09/d1699	or	disjunction	neutral				Every day I either ride a bike or get the bus to work .	Every day I either ride a bike
63	silver/p09/d1699	or	disjunction	entailment				Every day I either ride a bike	Every day I either ride a bike or get the bus to work .
64	silver/p09/d2028	or	disjunction	neutral				A ruler is a flat , rectangular measuring or drawing device with graduations in units of measurement .	A ruler is a flat , rectangular measuring
65	silver/p09/d2028	or	disjunction	entailment				A ruler is a flat , rectangular measuring	A ruler is a flat , rectangular measuring or drawing device with graduations in units of measurement .
66	silver/p09/d2922	or	disjunction	neutral				The policeman asked if Maria had greeted me with a wave , a hug or a kiss .	The policeman asked if Maria had greeted me with a wave , a hug
67	silver/p09/d2922	or	disjunction	entailment				The policeman asked if Maria had greeted me with a wave , a hug	The policeman asked if Maria had greeted me with a wave , a hug or a kiss .
68	silver/p10/d0902	or	disjunction	entailment				If you really want to speak to me , it 's now or never .	If you really want to speak to me , it 's now
69	silver/p10/d0902	or	disjunction	neutral				If you really want to speak to me , it 's now	If you really want to speak to me , it 's now or never .
70	silver/p10/d1629	or	disjunction	neutral				The frame of the house should be finished in a day or two .	The frame of the house should be finished in a day
71	silver/p10/d1629	or	disjunction	entailment				The frame of the house should be finished in a day	The frame of the house should be finished in a day or two .
72	silver/p10/d1958	or	disjunction	neutral				I 'm going to stay for another day or two .	I 'm going to stay for another day
73	silver/p10/d1958	or	disjunction	entailment				I 'm going to stay for another day	I 'm going to stay for another day or two .
74	silver/p10/d2648	or	disjunction	neutral				You have the choice of soup or salad .	You have the choice of soup
75	silver/p10/d2648	or	disjunction	entailment				You have the choice of soup	You have the choice of soup or salad .
76	silver/p10/d2945	or	disjunction	neutral				The most common symptom of miscarriage is vaginal bleeding , which may occur with or without pain .	The most common symptom of miscarriage is vaginal bleeding , which may occur with
77	silver/p10/d2945	or	disjunction	entailment				The most common symptom of miscarriage is vaginal bleeding , which may occur with	The most common symptom of miscarriage is vaginal bleeding , which may occur with or without pain .
78	silver/p11/d1972	or	disjunction	entailment				Maria has n't eaten or drank the whole day .	Maria has n't eaten
79	silver/p11/d1972	or	disjunction	neutral				Maria has n't eaten	Maria has n't eaten or drank the whole day .
80	silver/p11/d2019	or	disjunction	entailment				Her composition is very good except for two or three spelling errors .	Her composition is very good except for two
81	silver/p11/d2019	or	disjunction	neutral				Her composition is very good except for two	Her composition is very good except for two or three spelling errors .
82	silver/p11/d2611	or	disjunction	neutral				For some reason or other she shook her head .	For some reason
83	silver/p11/d2611	or	disjunction	entailment				For some reason	For some reason or other she shook her head .
84	silver/p12/d2008	or	disjunction	neutral				Artificial neural networks can be used to understand biological neural networks , or to solve problems of artificial intelligence , without necessarily creating models of real biological systems .	Artificial neural networks can be used to understand biological neural networks ,
85	silver/p12/d2008	or	disjunction	entailment				Artificial neural networks can be used to understand biological neural networks ,	Artificial neural networks can be used to understand biological neural networks , or to solve problems of artificial intelligence , without necessarily creating models of real biological systems .
86	silver/p13/d1398	or	disjunction	neutral				The game will be held rain or shine .	The game will be held rain
87	silver/p13/d1398	or	disjunction	entailment				The game will be held rain	The game will be held rain or shine .
88	silver/p13/d1482	or	disjunction	neutral				You had better learn either English or French .	You had better learn either English
89	silver/p13/d1482	or	disjunction	entailment				You had better learn either English	You had better learn either English or French .
90	silver/p13/d2250	or	disjunction	neutral				Love is a temporary insanity curable by marriage or by removal of the patient from the influences under which he incurred the disorder .	Love is a temporary insanity curable by marriage
91	silver/p13/d2250	or	disjunction	entailment				Love is a temporary insanity curable by marriage	Love is a temporary insanity curable by marriage or by removal of the patient from the influences under which he incurred the disorder .
92	silver/p13/d2543	or	disjunction	neutral				The trees are barren or bear only small fruit .	The trees are barren
93	silver/p13/d2543	or	disjunction	entailment				The trees are barren	The trees are barren or bear only small fruit .
94	silver/p13/d2588	or	disjunction	neutral				Leave now , or you 'll miss the train .	Leave now ,
95	silver/p13/d2588	or	disjunction	entailment				Leave now ,	Leave now , or you 'll miss the train .
96	silver/p14/d2732	or	disjunction	neutral				You should avoid adding sentences in a language other than your own , because unless you write in your mother tongue or dialect , you are prone to make many mistakes .	You should avoid adding sentences in a language other than your own , because unless you write in your mother tongue
97	silver/p14/d2732	or	disjunction	entailment				You should avoid adding sentences in a language other than your own , because unless you write in your mother tongue	You should avoid adding sentences in a language other than your own , because unless you write in your mother tongue or dialect , you are prone to make many mistakes .
98	silver/p14/d3027	or	disjunction	entailment				No animal builds beautiful churches , plays tennis , tells jokes , writes songs or visits the moon .	No animal builds beautiful churches , plays tennis , tells jokes , writes songs
99	silver/p14/d3027	or	disjunction	neutral				No animal builds beautiful churches , plays tennis , tells jokes , writes songs	No animal builds beautiful churches , plays tennis , tells jokes , writes songs or visits the moon .
100	silver/p15/d0903	or	disjunction	entailment				Tom was n't ready to accept Mary 's love or friendship .	Tom was n't ready to accept Mary 's love
101	silver/p15/d0903	or	disjunction	neutral				Tom was n't ready to accept Mary 's love	Tom was n't ready to accept Mary 's love or friendship .
102	silver/p15/d0908	or	disjunction	neutral				Hurry up or you 'll miss the train .	Hurry up
103	silver/p15/d0908	or	disjunction	entailment				Hurry up	Hurry up or you 'll miss the train .
104	silver/p15/d2870	or	disjunction	neutral				Tom is probably just a year or two younger than Mary .	Tom is probably just a year
105	silver/p15/d2870	or	disjunction	entailment				Tom is probably just a year	Tom is probably just a year or two younger than Mary .
106	silver/p15/d3044	or	disjunction	neutral				I 'll be able to finish it in a day or two .	I 'll be able to finish it in a day
107	silver/p15/d3044	or	disjunction	entailment				I 'll be able to finish it in a day	I 'll be able to finish it in a day or two .
108	silver/p15/d3212	or	disjunction	neutral				Recurrent miscarriage is distinct from infertility , and is defined as two or more failed pregnancies .	Recurrent miscarriage is distinct from infertility , and is defined as two
109	silver/p15/d3212	or	disjunction	entailment				Recurrent miscarriage is distinct from infertility , and is defined as two	Recurrent miscarriage is distinct from infertility , and is defined as two or more failed pregnancies .
110	silver/p16/d0825	or	disjunction	entailment				We are not as happy or un happy as we imagine ourselves to be .	We are not as happy
111	silver/p16/d0825	or	disjunction	neutral				We are not as happy	We are not as happy or un happy as we imagine ourselves to be .
112	silver/p16/d1389	or	disjunction	neutral				Name a country or region where the Ebola virus has been found .	Name a country
113	silver/p16/d1389	or	disjunction	entailment				Name a country	Name a country or region where the Ebola virus has been found .
114	silver/p16/d2559	or	disjunction	neutral				Early man used his fingers and toes to count the animals he owned , or the measures of grain he had stored .	Early man used his fingers and toes to count the animals he owned ,
115	silver/p16/d2559	or	disjunction	entailment				Early man used his fingers and toes to count the animals he owned ,	Early man used his fingers and toes to count the animals he owned , or the measures of grain he had stored .
116	silver/p18/d1495	or	disjunction	entailment				The tree was so discontented , that it took no pleasure in the warm sunshine , the birds , or the rosy clouds that floated over it morning and evening .	The tree was so discontented , that it took no pleasure in the warm sunshine , the birds ,
117	silver/p18/d1495	or	disjunction	neutral				The tree was so discontented , that it took no pleasure in the warm sunshine , the birds ,	The tree was so discontented , that it took no pleasure in the warm sunshine , the birds , or the rosy clouds that floated over it morning and evening .
118	silver/p18/d1572	or	disjunction	neutral				Tom likes oranges and eats around 3 or 4 of them per week .	Tom likes oranges and eats around 3
119	silver/p18/d1572	or	disjunction	entailment				Tom likes oranges and eats around 3	Tom likes oranges and eats around 3 or 4 of them per week .
120	silver/p18/d1592	or	disjunction	entailment				I do n't work on either Saturday or Sunday .	I do n't work on either Saturday
121	silver/p18/d1592	or	disjunction	neutral				I do n't work on either Saturday	I do n't work on either Saturday or Sunday .
122	silver/p19/d0705	or	disjunction	neutral				Only a few of the embassies , mainly those of states accredited in the German~Democratic~Republic ( GDR ) , were able to make use of existing buildings in Berlin . The majority of the embassies had to have new buildings erected or buildings that were already in place adapted for this new use .	Only a few of the embassies , mainly those of states accredited in the German~Democratic~Republic ( GDR ) , were able to make use of existing buildings in Berlin . The majority of the embassies had to have new buildings erected
123	silver/p19/d0705	or	disjunction	entailment				Only a few of the embassies , mainly those of states accredited in the German~Democratic~Republic ( GDR ) , were able to make use of existing buildings in Berlin . The majority of the embassies had to have new buildings erected	Only a few of the embassies , mainly those of states accredited in the German~Democratic~Republic ( GDR ) , were able to make use of existing buildings in Berlin . The majority of the embassies had to have new buildings erected or buildings that were already in place adapted for this new use .
124	silver/p19/d1720	or	disjunction	neutral				To avoid spoiling , fish caught far out at sea are immediately cooled or even frozen .	To avoid spoiling , fish caught far out at sea are immediately cooled
125	silver/p19/d1720	or	disjunction	entailment				To avoid spoiling , fish caught far out at sea are immediately cooled	To avoid spoiling , fish caught far out at sea are immediately cooled or even frozen .
126	silver/p19/d1739	or	disjunction	entailment				By simply changing the orientation of a house in relation to the sun , you can save up to thirty percent of the energy required or wasted for heating or cooling it .	By simply changing the orientation of a house in relation to the sun , you can save up to thirty percent of the energy required
127	silver/p19/d1739	or	disjunction	neutral				By simply changing the orientation of a house in relation to the sun , you can save up to thirty percent of the energy required	By simply changing the orientation of a house in relation to the sun , you can save up to thirty percent of the energy required or wasted for heating or cooling it .
128	silver/p19/d2392	or	disjunction	entailment				Tom did n't have any brothers or sisters .	Tom did n't have any brothers
129	silver/p19/d2392	or	disjunction	neutral				Tom did n't have any brothers	Tom did n't have any brothers or sisters .
130	silver/p21/d0754	or	disjunction	entailment				English has been written using the Latin alphabet since around the ninth century . The spelling system or orthography of English is historical , not phonological .	English has been written using the Latin alphabet since around the ninth century . The spelling system
131	silver/p21/d0754	or	disjunction	neutral				English has been written using the Latin alphabet since around the ninth century . The spelling system	English has been written using the Latin alphabet since around the ninth century . The spelling system or orthography of English is historical , not phonological .
132	silver/p21/d2007	or	disjunction	neutral				Only 2.1 percent of the music albums released in 2009 sold 5,000 copies or more .	Only 2.1 percent of the music albums released in 2009 sold 5,000 copies
133	silver/p21/d2007	or	disjunction	entailment				Only 2.1 percent of the music albums released in 2009 sold 5,000 copies	Only 2.1 percent of the music albums released in 2009 sold 5,000 copies or more .
134	silver/p22/d1548	or	disjunction	neutral				I 'll be able to finish in a day or two .	I 'll be able to finish in a day
135	silver/p22/d1548	or	disjunction	entailment				I 'll be able to finish in a day	I 'll be able to finish in a day or two .
136	silver/p22/d2165	or	disjunction	entailment				According to Belarusian laws , not having a portrait of President Lukashenko in one 's apartment or house is punishable by the death penalty .	According to Belarusian laws , not having a portrait of President Lukashenko in one 's apartment
137	silver/p22/d2165	or	disjunction	neutral				According to Belarusian laws , not having a portrait of President Lukashenko in one 's apartment	According to Belarusian laws , not having a portrait of President Lukashenko in one 's apartment or house is punishable by the death penalty .
138	silver/p23/d2448	or	disjunction	neutral				Until Monday or Tuesday of next week .	Until Monday
139	silver/p23/d2448	or	disjunction	entailment				Until Monday	Until Monday or Tuesday of next week .
140	silver/p24/d1436	or	disjunction	neutral				I ca n't laugh or cry .	I ca n't laugh
141	silver/p24/d1436	or	disjunction	entailment				I ca n't laugh	I ca n't laugh or cry .
142	silver/p24/d1883	or	disjunction	entailment				Tom attended high~school for three years without missing a single day or ever being late .	Tom attended high~school for three years without missing a single day
143	silver/p24/d1883	or	disjunction	neutral				Tom attended high~school for three years without missing a single day	Tom attended high~school for three years without missing a single day or ever being late .
144	silver/p24/d2433	or	disjunction	entailment				Either you go now or I will make you go .	Either you go now
145	silver/p24/d2433	or	disjunction	neutral				Either you go now	Either you go now or I will make you go .
146	silver/p25/d1965	or	disjunction	entailment				She does n't have any brothers or sisters .	She does n't have any brothers
147	silver/p25/d1965	or	disjunction	neutral				She does n't have any brothers	She does n't have any brothers or sisters .
148	silver/p26/d2083	or	disjunction	entailment				There are no dinosaurs or mammoths to be found now .	There are no dinosaurs
149	silver/p26/d2083	or	disjunction	neutral				There are no dinosaurs	There are no dinosaurs or mammoths to be found now .
150	silver/p26/d2883	or	disjunction	neutral				I wonder if the first week or so of July is too early to go to the beach .	I wonder if the first week
151	silver/p26/d2883	or	disjunction	entailment				I wonder if the first week	I wonder if the first week or so of July is too early to go to the beach .
152	silver/p27/d0810	or	disjunction	entailment				It 's now or never .	It 's now
153	silver/p27/d0810	or	disjunction	neutral				It 's now	It 's now or never .
154	silver/p27/d1893	or	disjunction	neutral				I 'm all thumbs when it comes to origami , or paper folding .	I 'm all thumbs when it comes to origami ,
155	silver/p27/d1893	or	disjunction	entailment				I 'm all thumbs when it comes to origami ,	I 'm all thumbs when it comes to origami , or paper folding .
156	silver/p28/d2018	or	disjunction	neutral				People who are allergic to pineapple , bananas , or latex are likely also to be allergic to kiwifruit .	People who are allergic to pineapple , bananas ,
157	silver/p28/d2018	or	disjunction	entailment				People who are allergic to pineapple , bananas ,	People who are allergic to pineapple , bananas , or latex are likely also to be allergic to kiwifruit .
158	silver/p28/d2578	or	disjunction	entailment				I was hungry but there was no fruit or ice cream for me .	I was hungry but there was no fruit
159	silver/p28/d2578	or	disjunction	neutral				I was hungry but there was no fruit	I was hungry but there was no fruit or ice cream for me .
160	silver/p29/d2155	or	disjunction	entailment				Chinese food was served in small portions which did not require cutting with a knife or fork .	Chinese food was served in small portions which did not require cutting with a knife
161	silver/p29/d2155	or	disjunction	neutral				Chinese food was served in small portions which did not require cutting with a knife	Chinese food was served in small portions which did not require cutting with a knife or fork .
162	silver/p29/d2373	or	disjunction	entailment				It was n't Tom 's or Mary 's first sentence .	It was n't Tom 's
163	silver/p29/d2373	or	disjunction	neutral				It was n't Tom 's	It was n't Tom 's or Mary 's first sentence .
164	silver/p30/d0720	or	disjunction	neutral				In conversations with Ms. Robbins , it is understood that Armstrong~Environmental~Inc. has been retained by past or present owners or some combination of these parties .	In conversations with Ms. Robbins , it is understood that Armstrong~Environmental~Inc. has been retained by past
165	silver/p30/d0720	or	disjunction	entailment				In conversations with Ms. Robbins , it is understood that Armstrong~Environmental~Inc. has been retained by past	In conversations with Ms. Robbins , it is understood that Armstrong~Environmental~Inc. has been retained by past or present owners or some combination of these parties .
166	silver/p30/d0888	or	disjunction	entailment				We are never as happy or as un happy as we imagine .	We are never as happy
167	silver/p30/d0888	or	disjunction	neutral				We are never as happy	We are never as happy or as un happy as we imagine .
168	silver/p30/d2129	or	disjunction	neutral				Women with mothers or sisters who have endometriosis are at elevated risk of developing the condition themselves .	Women with mothers
169	silver/p30/d2129	or	disjunction	entailment				Women with mothers	Women with mothers or sisters who have endometriosis are at elevated risk of developing the condition themselves .
170	silver/p30/d2816	or	disjunction	neutral				Watch your step , or else you will trip on the baggage .	Watch your step ,
171	silver/p30/d2816	or	disjunction	entailment				Watch your step ,	Watch your step , or else you will trip on the baggage .
172	silver/p31/d0834	or	disjunction	neutral				He had two or three rather competent assistants .	He had two
173	silver/p31/d0834	or	disjunction	entailment				He had two	He had two or three rather competent assistants .
174	silver/p31/d2426	or	disjunction	neutral				You are free to go or to stay .	You are free to go
175	silver/p31/d2426	or	disjunction	entailment				You are free to go	You are free to go or to stay .
176	silver/p31/d3118	or	disjunction	entailment				Mary knows nothing of sewing or knitting .	Mary knows nothing of sewing
177	silver/p31/d3118	or	disjunction	neutral				Mary knows nothing of sewing	Mary knows nothing of sewing or knitting .
178	silver/p31/d3230	or	disjunction	neutral				I ca n't tell if Tom is dead or just unconscious .	I ca n't tell if Tom is dead
179	silver/p31/d3230	or	disjunction	entailment				I ca n't tell if Tom is dead	I ca n't tell if Tom is dead or just unconscious .
180	silver/p32/d0703	or	disjunction	neutral				David Golinkin is the editor or author of eighteen books , and over 150 responsa , articles , sermons and books .	David Golinkin is the editor
181	silver/p32/d0703	or	disjunction	entailment				David Golinkin is the editor	David Golinkin is the editor or author of eighteen books , and over 150 responsa , articles , sermons and books .
182	silver/p33/d0870	or	disjunction	neutral				Watch your mouth or you 'll get it .	Watch your mouth
183	silver/p33/d0870	or	disjunction	entailment				Watch your mouth	Watch your mouth or you 'll get it .
184	silver/p33/d2369	or	disjunction	entailment				My father never came back home before 9 or 10 .	My father never came back home before 9
185	silver/p33/d2369	or	disjunction	neutral				My father never came back home before 9	My father never came back home before 9 or 10 .
186	silver/p33/d2468	or	disjunction	entailment				Tom did n't meet Mary or anyone else .	Tom did n't meet Mary
187	silver/p33/d2468	or	disjunction	neutral				Tom did n't meet Mary	Tom did n't meet Mary or anyone else .
188	silver/p33/d3234	or	disjunction	neutral				I never suggested or even hinted that it was Tom who stole Mary 's necklace .	I never suggested
189	silver/p33/d3234	or	disjunction	entailment				I never suggested	I never suggested or even hinted that it was Tom who stole Mary 's necklace .
190	silver/p34/d1608	or	disjunction	neutral				We want Tom to play a song or two for us on his banjo .	We want Tom to play a song
191	silver/p34/d1608	or	disjunction	entailment				We want Tom to play a song	We want Tom to play a song or two for us on his banjo .
192	silver/p34/d3464	or	disjunction	entailment				Sound needs matter to propagate through , however cosmic noise or electromagnetic waves do n't .	Sound needs matter to propagate through , however cosmic noise
193	silver/p34/d3464	or	disjunction	neutral				Sound needs matter to propagate through , however cosmic noise	Sound needs matter to propagate through , however cosmic noise or electromagnetic waves do n't .
194	silver/p35/d2184	or	disjunction	entailment				A noun can be singular or plural .	A noun can be singular
195	silver/p35/d2184	or	disjunction	neutral				A noun can be singular	A noun can be singular or plural .
196	silver/p35/d2220	or	disjunction	neutral				Cats that are completely white with blue eyes are always , or nearly always , deaf .	Cats that are completely white with blue eyes are always ,
197	silver/p35/d2220	or	disjunction	entailment				Cats that are completely white with blue eyes are always ,	Cats that are completely white with blue eyes are always , or nearly always , deaf .
198	silver/p35/d2383	or	disjunction	neutral				Tom had only planned to stay in Boston for just a day or two .	Tom had only planned to stay in Boston for just a day
199	silver/p35/d2383	or	disjunction	entailment				Tom had only planned to stay in Boston for just a day	Tom had only planned to stay in Boston for just a day or two .
200	silver/p35/d2722	or	disjunction	neutral				The Solar System has four terrestrial or telluric planets : Mercury , Venus , Earth , and Mars .	The Solar System has four terrestrial
201	silver/p35/d2722	or	disjunction	entailment				The Solar System has four terrestrial	The Solar System has four terrestrial or telluric planets : Mercury , Venus , Earth , and Mars .
202	silver/p36/d1685	or	disjunction	neutral				There are two or three persons with two cars .	There are two
203	silver/p36/d1685	or	disjunction	entailment				There are two	There are two or three persons with two cars .
204	silver/p37/d1595	or	disjunction	entailment				Do n't come here again or we 'll definitely have a problem .	Do n't come here again
205	silver/p37/d1595	or	disjunction	neutral				Do n't come here again	Do n't come here again or we 'll definitely have a problem .
206	silver/p37/d1786	or	disjunction	neutral				I would like to learn to play the piano , guitar or flute .	I would like to learn to play the piano , guitar
207	silver/p37/d1786	or	disjunction	entailment				I would like to learn to play the piano , guitar	I would like to learn to play the piano , guitar or flute .
208	silver/p37/d3167	or	disjunction	entailment				She took no pleasure in eating or drinking .	She took no pleasure in eating
209	silver/p37/d3167	or	disjunction	neutral				She took no pleasure in eating	She took no pleasure in eating or drinking .
210	silver/p38/d2931	or	disjunction	neutral				Apples are red or green .	Apples are red
